#SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
#		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
1166	1237663716555293384	9.35528557207	0.97394632287	2.431473	22.54063	21.82741	20.04021	19.37542	19.03431	0.4768956	0.1145905	0.03561216	0.03015191	0.07806965	0.3819667
1253	1237663457779384632	323.798590322	0.162846098904	3.491167	24.67281	20.42491	19.06269	18.45856	18.09226	2.281077	0.04389307	0.02137817	0.01907718	0.05796956	0.2630881
1371	1237663277923106978	349.373744326	0.429687074666	3.021059	20.60242	18.61513	17.54534	17.10148	16.68448	0.08341342	0.009110699	0.005850279	0.006095658	0.01183973	0.1190151
1580	1237663783143473374	45.3238268384	-0.642272136856	5.61083	24.99289	20.406	19.20955	18.72379	18.27818	1.350725	0.0325167	0.01777018	0.01698192	0.03947106
1688	1237663543679059221	321.357820122	0.324876913218	1.872727	22.12051	21.18208	20.32749	19.9726	19.69146	0.2536382	0.04912467	0.03952141	0.04357522	0.1404699	0.3591736
2017	1237663479793714269	328.943895543	0.593476336184	2.008399	21.98736	20.86535	19.8528	19.41423	19.07058	0.2273447	0.0419133	0.02617479	0.02824613	0.07040612	0.2631343
2165	1237666339189163227	17.0915391291	-0.096316212513	1.522264	22.81672	23.34707	22.03757	22.21923	21.28354	0.3848452	0.236604	0.1176479	0.2045427	0.3579097
2330	1237678434328183252	6.80733066537	1.12085972995	2.94935	22.17437	21.46668	20.59565	20.32003	19.82585	0.2939462	0.06895994	0.0465977	0.05530778	0.145271	0.213361
2372	1237657070091108996	40.520832897	-0.541037218526	2.251427	21.78916	20.49779	19.52882	19.01681	18.59137	0.2365293	0.03243874	0.02154168	0.02092914	0.05128233	0.180438
2422	1237657191979811746	1.99457910558	0.637982561759	1.867958	23.63891	22.86305	21.99851	21.94946	22.00983	0.8972514	0.2297898	0.1673466	0.2400912	0.7555072
