SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
10028,17.7419418368,0.276128992799,18.94073,17.21711,16.41155,16.02829,15.74092,0.02917798,0.004510157,0.003797103,0.003778207,0.00757813,0.06532882
1032,46.7959160156,1.11997988304,21.48989,19.39842,18.29907,17.82622,17.47092,0.1864769,0.01453696,0.008956809,0.009073975,0.02123383,0.1297552
10324,336.617648891,0.586835292361,23.47198,22.53654,21.71443,21.42192,21.76897,0.5916926,0.1394584,0.09041183,0.112061,0.5282182,0.2517785
10550,349.675826174,-1.20467149762,22.06655,21.05715,20.20313,19.85691,19.44593,0.2197738,0.04552277,0.03032496,0.03394819,0.08657342,0.3008438
10559,354.116727981,-1.22660041361,22.23958,21.16973,20.03279,19.52906,19.09447,0.2823789,0.05900147,0.03132638,0.0308692,0.07859115,0.281057
10805,344.927759004,-0.0135705384838,18.14592,16.8983,16.38761,16.07858,15.86406,0.02143507,0.004218532,0.003898719,0.003977346,0.00934533,0.04536276
11172,322.412574735,-0.202205669021,19.6245,18.6255,18.1238,17.82975,17.63681,0.04480702,0.009669283,0.009665179,0.01079247,0.03436083,0.1362223
1119,320.412869731,0.895194157346,21.74016,20.48542,19.36866,19.07127,18.49976,0.2194085,0.03063728,0.01846445,0.02158608,0.04827891,0.2978147
11311,47.0153996967,0.4334722703,21.25789,19.86019,18.89245,18.39623,18.0531,0.1211485,0.01818548,0.01214037,0.01183767,0.02562015,0.2045321
11540,40.0645663223,0.570261377635,21.62028,20.89795,19.52617,19.06318,18.73244,0.1759522,0.04814008,0.02186058,0.02294857,0.05487181,0.2165289
11996,37.8340682782,-0.90177264478,21.29058,19.8239,18.53044,18.04296,17.65658,0.193142,0.02433742,0.0127067,0.01209706,0.02897102,0.2866358
12199,349.165168213,-1.15817773002,20.52906,19.23432,18.21298,17.73425,17.25406,0.1014886,0.01829207,0.01076236,0.01081444,0.02421465,0.3104421
12860,323.694965369,1.17540944639,20.80294,19.14211,18.31986,17.86434,17.40596,0.140136,0.01503123,0.01108961,0.01107493,0.02520769,0.1217078
12881,10.1624419262,-0.0735692210453,23.10154,22.07671,21.24492,20.88782,20.80721,0.4915028,0.08652695,0.06299942,0.06453869,0.2383084,0.2381259
12898,26.7930510122115,-0.146864685,20.18,19.11,18.49,18.02,17.82,0.07,0.01,0.01,0.01,0.03,0.08358109742403
12950,351.667270497,-0.840619665013,18.99278,18.03596,17.70643,17.40242,17.30359,0.03250468,0.007656487,0.00804905,0.009191794,0.02734613,0.08265698
12977,13.695653445,-0.251005224844,21.93471,21.12243,20.63049,20.48122,19.93139,0.2153867,0.07405918,0.06014821,0.06852534,0.1557661,0.2478153
13025,341.567754763,0.41618966538,20.84984,19.35916,18.51866,18.07122,17.78674,0.1539629,0.01840435,0.0144927,0.01407236,0.04406245,0.2243801
13099,359.8186488,-1.25070495973,20.37201,19.46796,18.63804,18.23529,17.98565,0.09087835,0.02020533,0.01406267,0.01519617,0.04317193,0.2660254
