This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
12843	1237657189815681386	323.878484626	-0.979633752443	3.380853	20.1494	18.29919	17.19102	16.7773	16.42984	0.08538748	0.01022651	0.006639799	0.006632558	0.0154364	0.1669515
12856	1237663544220975551	332.865364736	0.755585755036	5.553512	20.49372	19.08951	18.47806	18.0794	18.10998	0.112689	0.0179578	0.01656681	0.01905385	0.06334163	0.1716726
12860	1237678617938821532	323.694965369	1.17540944639	4.472718	20.80294	19.14211	18.31986	17.86434	17.40596	0.140136	0.01503123	0.01108961	0.01107493	0.02520769	0.1217078
12898	1237666407917289559	26.793051012	-0.146864685	2.876802	20.1821	19.10832	18.4894	18.02161	17.81866	0.07063252	0.01238533	0.01090268	0.01027445	0.02990918	0.0835
12930	1237663542600205560	309.68267041	-0.476394252442	6.406151	19.33475	18.08535	17.33543	16.97013	16.62606	0.05755026	0.00965534	0.008361453	0.009246331	0.02450211	0.147168
12950	1237656906351444110	351.667270497	-0.840619665013	4.150678	18.99278	18.03596	17.70643	17.40242	17.30359	0.03250468	0.007656487	0.00804905	0.009191794	0.02734613	0.08265698
12972	1237663783664025918	7.95858066333	-0.383050555835	0.8099409	23.44585	22.44335	21.86496	21.84101	21.12968	0.401449	0.09149688	0.07413301	0.103002	0.2162327	0.2608
13044	1237663479795287086	332.543025828	0.503936834758	5.391763	20.5278	19.21122	18.66871	18.44988	18.26259	0.1841447	0.0295506	0.02677504	0.03504683	0.107527	0.1258902
13070	1237663783122698517	357.784882457	-0.74656402913	3.282766	20.82862	19.58211	18.93661	18.6518	18.42055	0.1155667	0.0224204	0.02314145	0.027441	0.05416848	0.1985333
13305	1237663544220189296	331.100141267	0.690809629098	2.8681	20.955	20.02075	19.43531	19.13384	18.99397	0.104935	0.02382115	0.02216837	0.02648087	0.07734242	0.2146839
13354	1237657069548601421	27.564739615	-0.886700963241	3.104314	20.04924	19.04398	18.42653	17.9653	17.7821	0.07369214	0.01592621	0.01362802	0.01312622	0.03851281	0.1576255
13411	1237663457775584948	315.189730158,	0.191724708	1.29303	24.82955	22.53495	22.0648	21.86466	21.6408	1.011283	0.1198665	0.1180283	0.1417637	0.4950489	0.163
13425	1237663479261037488	338.541427824	0.0548776189578	2.698474	22.87673	21.94402	20.56654	19.96416	19.82752	0.5556491	0.1132389	0.05014492	0.04305317	0.1645288	0.2126624
13506	1237663783134691657	25.2436577518	-0.728450206327	1.512939	21.92734	20.89706	20.12334	19.69242	19.43479	0.1871958	0.03760181	0.02638209	0.02684512	0.07290784	0.245
13511	1237663783141441728	40.6112959494	-0.794229643054	4.189126	21.27534	19.37675	18.08902	17.54278	17.1691	0.1838429	0.01878438	0.00962171	0.008799418	0.01984864	0.2372839
