Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
1166	 ... 	9.3552761078	0.9739487767	0.38240 	 0.00050	11.08	11.15	11.22	4.13	6.47	7.53	0.023 	 0.068	1.274 	 1.103	-0.3288 	 0.2179	
1253	2005fd	323.7985839844	0.1628694236	0.26200 	 0.00500	11.27	11.34	11.39	5.89	7.80	8.03	-0.119 	 0.058	-1.280 	 0.464	-0.1097 	 0.1611	
1371	2005fh	349.3737487793	0.4296737611	0.11915 	 0.00012	10.95	11.00	11.02	5.27	6.76	7.26	-0.084 	 0.020	0.703 	 0.167	-0.1775 	 0.0566	
1580	2005fb	45.3238296509	-0.6422790885	0.18300 	 0.00008	10.61	10.73	10.83	3.58	5.20	6.95	-0.058 	 0.026	0.675 	 0.271	-0.1156 	 0.0775	
1688	 ... 	321.3578186035	0.3248503506	0.35870 	 0.00050	10.09	10.20	10.32	1.50	2.04	2.74	0.007 	 0.070	1.019 	 1.306	0.0240 	 0.2309	
2017	2005fo	328.9438781738	0.5934827328	0.26160 	 0.00050	10.48	10.54	10.57	4.26	5.84	6.66	-0.117 	 0.052	1.272 	 0.527	0.2671 	 0.1512	
2165	2005fr	17.0916309357	-0.0962756798	0.28800 	 0.00500	9.33	9.39	9.46	1.86	2.21	3.52	-0.130 	 0.038	0.620 	 0.526	0.3219 	 0.1315	
2330	2005fp	6.8073453903	1.1208769083	0.21320 	 0.00050	9.83	9.88	9.94	2.80	4.11	6.16	0.083 	 0.063	-2.238 	 0.569	0.2954 	 0.1620	
2372	2005ft	40.5208168030	-0.5410116911	0.18050 	 0.00050	10.37	10.45	10.49	6.08	7.64	8.81	0.045 	 0.024	-0.015 	 0.225	-0.1379 	 0.0714	
2422	2005fi	1.9945372343	0.6381285191	0.26500 	 0.00500	9.09	9.15	9.25	2.03	2.57	3.29	-0.184 	 0.035	0.751 	 0.326	0.2078 	 0.1181	
2533	2005fs	31.2206439972	-0.3263290226	0.34000 	 0.00500	9.95	10.04	10.14	2.16	3.94	5.59	-0.075 	 0.060	2.329 	 0.727	0.1465 	 0.1912	
2635	2005fw	52.7040061951	-1.2376136780	0.14370 	 0.00050	9.93	9.99	10.04	3.35	4.73	6.00	-0.062 	 0.021	0.839 	 0.183	0.0388 	 0.0545	
2789	2005fx	344.2020263672	0.4005828500	0.29030 	 0.00050	11.07	11.15	11.20	5.35	7.35	9.35	-0.115 	 0.051	-0.292 	 0.543	0.1218 	 0.1512	
2943	2005go	17.7050647736	1.0080429316	0.26540 	 0.00050	9.00	9.08	9.17	1.99	2.53	3.29	-0.025 	 0.045	0.121 	 0.408	-0.0989 	 0.1285	
3080	2005ga	16.9316864014	-1.0394667387	0.17500 	 0.00050	10.92	10.97	10.97	3.67	4.87	4.87	-0.068 	 0.025	-0.166 	 0.244	-0.1118 	 0.0621	
3199	2005gs	333.2925415039	1.0506948233	0.25110 	 0.00050	8.79	8.88	8.98	2.07	2.66	3.80	-0.020 	 0.039	1.166 	 0.414	0.3073 	 0.1018	
3256	2005hn	329.2674865723	-0.2234567255	0.10760 	 0.00050	9.76	9.81	9.84	4.25	4.78	5.87	0.034 	 0.034	-0.714 	 0.198	0.0294 	 0.0627	
3377	2005gr	54.1561660767	1.0789009333	0.24510 	 0.00050	9.32	9.38	9.45	2.15	2.69	3.84	-0.100 	 0.034	0.756 	 0.337	-0.2046 	 0.0875	
3451	2005gf	334.0685424805	0.7077997923	0.25000 	 0.00050	10.72	10.81	10.85	4.74	8.34	9.34	-0.073 	 0.035	0.052 	 0.362	-0.2537 	 0.0948	
3452	2005gg	334.6713256836	0.6394435167	0.23040 	 0.00050	9.46	9.47	9.50	2.15	2.19	2.73	-0.100 	 0.034	0.680 	 0.338	-0.0220 	 0.0856	
3592	2005gb	19.0529479980	0.7905687690	0.08656 	 0.00019	10.60	10.64	10.69	6.16	7.45	8.40	-0.031 	 0.019	-0.454 	 0.146	-0.0411 	 0.0513	
4000	2005gt	31.0166950226	-0.3663079143	0.27860 	 0.00050	10.89	10.95	11.00	4.39	6.08	7.37	-0.032 	 0.074	-0.990 	 0.619	0.2036 	 0.2011	
4046	2005gw	354.4983215332	0.6421458125	0.27700 	 0.00500	9.15	9.27	9.39	2.51	4.15	6.01	-0.026 	 0.041	0.609 	 0.533	0.0048 	 0.1390	
