SNID,redshift,err_redshift,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
101,0.000804,0.00001,11.630,10.140,9.565,9.241,9.025,0.03,0.03,0.03,0.03,0.03
1015,0.008797,0.00001,14.922,13.145,12.295,11.849,11.578,0.03,0.03,0.03,0.03,0.03
1309,0.007138,0.00001,12.931,11.971,11.548,11.332,11.193,0.03,0.03,0.03,0.03,0.03
3021,0.00535,0.00001,13.768,12.614,12.029,11.715,11.447,0.03,0.03,0.03,0.03,0.03
3370,0.004276,0.000010,13.637,12.583,12.067,11.794,11.562,0.03,0.03,0.03,0.03,0.03
3447,0.003556,0.000003,14.780,13.823,13.412,13.232,13.072,0.03,0.03,0.03,0.03,0.03
3972,0.002799,0.000033,14.079,12.865,12.248,11.883,11.665,0.03,0.03,0.03,0.03,0.03
3982,0.00371,0.00001,12.958,11.929,11.455,11.171,10.984,0.03,0.03,0.03,0.03,0.03
4424,0.00162,0.00009,12.974,11.870,11.287,10.786,10.777,0.03,0.03,0.03,0.03,0.03
4536,0.00603,0.00001,12.607,11.326,10.645,10.289,10.0343,0.03,0.03,0.03,0.03,0.03
4639,0.00364,0.00002,13.400,12.110,11.463,11.121,10.898,0.03,0.03,0.03,0.03,0.03
5584,0.005525,0.000010,13.397,12.412,11.922,11.596,11.640,0.03,0.03,0.03,0.03,0.03
7250,0.0039,0.00001,14.274,13.485,13.048,12.938,12.723,0.03,0.03,0.03,0.03,0.03
9391,0.00649,0.00025,16.058,15.155,14.785,14.628,14.424,0.03,0.03,0.03,0.03,0.03
