@SN 2002fk
@reference Open SN catalog; 012MNRAS.425.1789S,2010ApJS..190..418G; 2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue
@time JD-2400000
@ra 50.523792
@ra_unit deg
@dec -15.400889
@dec_unit deg
@z 0.0090
@z_uncert 0.0001
@z_frame CMB
time band flux fluxerr zp zpsys
52535.49    standard::b 9436.262 0.004595 25 vega
52535.49    standard::r 9541.134 0.005969 25 vega
52535.49    standard::v 8741.783 0.014628 25 vega
52536.50    standard::b 13539.418 0.005053 25 vega
52536.50    standard::r 13329.075 0.004595 25 vega
52536.50    standard::v 12531.412 0.004595 25 vega
52537.47    standard::b 18213.776 0.004595 25 vega
52537.47    standard::r 17881.337 0.004595 25 vega
52537.47    standard::v 16687.835 0.004595 25 vega
52541.49    standard::b 36174.289 0.004595 25 vega
52541.49    standard::r 34769.624 0.004595 25 vega
52541.49    standard::v 32870.022 0.005053 25 vega
52543.50    standard::b 40663.055 0.004595 25 vega
52543.50    standard::r 38089.038 0.008255 25 vega
52543.50    standard::v 36846.819 0.012357 25 vega
52544.46    standard::b 44014.928 0.004595 25 vega
52544.46    standard::r 41114.972 0.004595 25 vega
52544.46    standard::v 39774.067 0.008712 25 vega
52544.91219 standard::b 46430.141 0.012812 25 vega
52544.91465 standard::v 43571.248 0.007341 25 vega
52544.91646 standard::r 44709.519 0.009624 25 vega
52547.47    standard::r 41725.351 0.005053 25 vega
52548.49    standard::b 46687.433 0.004595 25 vega
52548.49    standard::r 45331.491 0.008255 25 vega
52548.49    standard::v 45164.790 0.004595 25 vega
52549.48    standard::b 47206.304 0.004595 25 vega
52549.48    standard::r 44668.359 0.004595 25 vega
52549.48    standard::v 45164.790 0.004595 25 vega
52550.45    standard::b 45750.938 0.004595 25 vega
52550.45    standard::r 44463.127 0.004595 25 vega
52550.45    standard::v 43772.364 0.004595 25 vega
52550.96955 standard::u 64032.432 0.011902 25 vega
52550.97708 standard::r 46302.027 0.010992 25 vega
52550.98377 standard::v 45206.408 0.008712 25 vega
52550.98486 standard::r 44915.889 0.008712 25 vega
52551.47    standard::b 44340.440 0.004595 25 vega
52551.47    standard::r 40290.254 0.004595 25 vega
52551.47    standard::v 42815.399 0.004595 25 vega
52551.48    standard::b 41419.037 0.005053 25 vega
52551.48    standard::r 43411.021 0.004595 25 vega
52551.48    standard::v 42697.259 0.004595 25 vega
52551.93877 standard::v 41648.561 0.008255 25 vega
52551.94394 standard::b 44915.889 0.009624 25 vega
52551.94656 standard::u 57016.427 0.012812 25 vega
52552.44    standard::b 41228.734 0.004595 25 vega
52552.44    standard::r 42697.259 0.004595 25 vega
52552.44    standard::v 41533.641 0.004595 25 vega
52553.45    standard::b 39300.674 0.004595 25 vega
52553.45    standard::r 40700.524 0.004595 25 vega
52553.45    standard::v 40963.778 0.004595 25 vega
52553.94372 standard::b 37948.971 0.007798 25 vega
52555.44    standard::b 34641.764 0.004595 25 vega
52555.44    standard::r 36074.473 0.004595 25 vega
52555.44    standard::v 37983.939 0.004595 25 vega
52556.84347 standard::u 35448.674 0.022313 25 vega
52556.84669 standard::b 31739.494 0.015989 25 vega
52556.84919 standard::v 36475.395 0.006426 25 vega
52556.851   standard::r 33113.112 0.007341 25 vega
52558.87971 standard::u 27214.477 0.027701 25 vega
52558.88293 standard::b 26157.727 0.007341 25 vega
52558.88542 standard::v 32033.176 0.007341 25 vega
52559.45    standard::b 26061.535 0.005053 25 vega
52559.45    standard::r 27643.944 0.004595 25 vega
52559.45    standard::v 30988.460 0.004595 25 vega
52561.40    standard::b 20739.582 0.005969 25 vega
52561.40    standard::r 23463.889 0.008712 25 vega
52561.82509 standard::u 12405.092 0.030383 25 vega
52561.82832 standard::b 19054.607 0.009168 25 vega
52561.83081 standard::v 26742.377 0.007798 25 vega
52561.83263 standard::r 23966.245 0.010080 25 vega
52562.39    standard::b 19462.562 0.004595 25 vega
52562.39    standard::r 23593.914 0.004595 25 vega
52562.39    standard::v 25894.051 0.004595 25 vega
52565.40    standard::b 13957.255 0.004595 25 vega
52565.40    standard::r 22161.543 0.005053 25 vega
52565.40    standard::v 21998.851 0.005969 25 vega
52565.87438 standard::v 21399.321 0.008255 25 vega
52565.87619 standard::r 22573.557 0.009168 25 vega
52570.45    standard::r 21008.740 0.013721 25 vega
52570.45    standard::v 17442.149 0.011902 25 vega
