@SN 2003du
@reference Jha, Reiss & Kirshner 2007 SNANA database
@time JD-2400000
@ra 218.659805
@ra_unit deg
@dec 59.340912
@dec_unit deg
@z 0.0066
@z_uncert 0.0001
@z_frame CMB
time band flux fluxerr zp zpsys
52760.879 standard::r 0.30339E+06 23752. 0 vega
52760.879 standard::i 0.26595E+06 8573.2 0 vega
52765.840 standard::b 0.39518E+06 10191. 0 vega
52765.840 standard::v 0.36241E+06 17357. 0 vega
52765.840 standard::r 0.37256E+06 12010. 0 vega
52765.840 standard::i 0.27040E+06 7720.4 0 vega
52769.891 standard::b 0.35876E+06 11895. 0 vega
52769.891 standard::v 0.35091E+06 6140.9 0 vega
52769.891 standard::r 0.35942E+06 4965.5 0 vega
52769.891 standard::i 0.23812E+06 7456.8 0 vega
52770.871 standard::b 0.34674E+06 5429.1 0 vega
52770.871 standard::v 0.34198E+06 5984.5 0 vega
52770.871 standard::r 0.34866E+06 5138.0 0 vega
52770.871 standard::i 0.22803E+06 7771.0 0 vega
52771.828 standard::b 0.33174E+06 10083. 0 vega
52771.828 standard::v 0.33543E+06 6487.8 0 vega
52771.828 standard::r 0.33916E+06 6559.9 0 vega
52771.828 standard::i 0.21597E+06 4973.0 0 vega
52772.828 standard::b 0.31565E+06 9012.3 0 vega
52772.828 standard::v 0.32689E+06 9333.3 0 vega
52772.828 standard::r 0.32240E+06 7126.7 0 vega
52772.828 standard::i 0.20512E+06 6423.2 0 vega
52773.879 standard::b 0.28787E+06 9279.9 0 vega
52773.879 standard::v 0.31362E+06 4910.5 0 vega
52773.879 standard::r 0.30339E+06 9221.2 0 vega
52773.879 standard::i 0.19409E+06 10547. 0 vega
52774.820 standard::b 0.27900E+06 7965.9 0 vega
52774.820 standard::v 0.30818E+06 12205. 0 vega
52774.820 standard::r 0.28920E+06 4528.2 0 vega
52774.820 standard::i 0.18433E+06 4753.7 0 vega
52775.852 standard::b 0.25562E+06 13891. 0 vega
52775.852 standard::v 0.29054E+06 6422.2 0 vega
52775.852 standard::r 0.26522E+06 5618.3 0 vega
52775.852 standard::i 0.16951E+06 4059.3 0 vega
52776.879 standard::b 0.22803E+06 27514. 0 vega
52776.879 standard::v 0.27340E+06 11080. 0 vega
52776.879 standard::r 0.25026E+06 8298.1 0 vega
52776.879 standard::i 0.15502E+06 3997.9 0 vega
52777.859 standard::b 0.22060E+06 9549.3 0 vega
52777.859 standard::v 0.25751E+06 8064.1 0 vega
52777.859 standard::r 0.23270E+06 4286.5 0 vega
52777.859 standard::i 0.14832E+06 4371.5 0 vega
52778.891 standard::b 0.20026E+06 4057.9 0 vega
52778.891 standard::v 0.25026E+06 4379.5 0 vega
52778.891 standard::r 0.21657E+06 2992.0 0 vega
52778.891 standard::i 0.13957E+06 6041.9 0 vega
52779.820 standard::b 0.18587E+06 2739.0 0 vega
52779.820 standard::v 0.23356E+06 3872.1 0 vega
52779.820 standard::r 0.20380E+06 4317.2 0 vega
52779.820 standard::i 0.13415E+06 5436.6 0 vega
52781.871 standard::b 0.14859E+06 4242.7 0 vega
52781.871 standard::v 0.20951E+06 4052.2 0 vega
52781.871 standard::r 0.18587E+06 4793.3 0 vega
52781.871 standard::i 0.13062E+06 3849.7 0 vega
52783.809 standard::b 0.12428E+06 2632.7 0 vega
52783.809 standard::v 0.19090E+06 5098.9 0 vega
52783.809 standard::r 0.17980E+06 4305.8 0 vega
52783.809 standard::i 0.13539E+06 5362.2 0 vega
52785.879 standard::b 98356.      3080.0 0 vega
52785.879 standard::v 0.17314E+06  3348.8 0 vega
52785.879 standard::r 0.17250E+06  3177.6 0 vega
52785.879 standard::i 0.14035E+06  4007.2 0 vega
52787.820 standard::b  82642.      1217.9 0 vega
52787.820 standard::v 0.15878E+06  2632.4 0 vega
52787.820 standard::r 0.16936E+06  1871.8 0 vega
52787.820 standard::i 0.14750E+06  4483.2 0 vega
52789.852 standard::b  68929.      2475.9 0 vega
52789.852 standard::v 0.14362E+06  4365.1 0 vega
52789.852 standard::r 0.16765E+06  4014.7 0 vega
52789.852 standard::i 0.15431E+06  4405.9 0 vega
52790.840 standard::b  59429.      1915.8 0 vega
52790.840 standard::v 0.13465E+06  1736.2 0 vega
52790.840 standard::r 0.16796E+06  3248.6 0 vega
52790.840 standard::i 0.16338E+06  3310.5 0 vega
52791.809 standard::b  58023.      1442.9 0 vega
52791.809 standard::v 0.13158E+06  3393.4 0 vega
52791.809 standard::r 0.16218E+06  3435.6 0 vega
52791.809 standard::i 0.15747E+06  5511.4 0 vega
52791.820 standard::b  55976.      1649.8 0 vega
52791.820 standard::v 0.12918E+06  3212.5 0 vega
52791.820 standard::r 0.16323E+06  2255.1 0 vega
52791.820 standard::i 0.17330E+06  3511.5 0 vega
52794.828 standard::b  45040.      746.70 0 vega
52794.828 standard::v 0.11293E+06  2496.2 0 vega
52794.828 standard::r 0.14859E+06  2874.1 0 vega
52794.828 standard::i 0.16535E+06  4873.3 0 vega
52797.770 standard::b  34135.      2829.6 0 vega
52797.770 standard::v 95148.      6309.7 0 vega
52797.770 standard::r 0.13354E+06  3689.8 0 vega
52797.770 standard::i 0.15951E+06  9549.7 0 vega
52800.789 standard::b  31046.      714.85 0 vega
52800.789 standard::v 82718.      1066.6 0 vega
52800.789 standard::r 0.11138E+06  1333.6 0 vega
52800.789 standard::i 0.13983E+06  4765.2 0 vega
52803.809 standard::b  28262.      1431.7 0 vega
52803.809 standard::v 69952.      1095.3 0 vega
52803.809 standard::r  92640.      1194.5 0 vega
52803.809 standard::i 0.11471E+06  4014.8 0 vega
52806.750 standard::b  24866.      709.97 0 vega
52806.750 standard::v 61603.      1929.1 0 vega
52806.750 standard::r  80094.      2286.8 0 vega
52806.750 standard::i  96739.      4187.7 0 vega
52809.719 standard::b  22782.      314.75 0 vega
52809.719 standard::v 55514.      2147.5 0 vega
52809.719 standard::r  70860.      1435.8 0 vega
52809.719 standard::i  82566.      3878.3 0 vega
52812.730 standard::b  21777.      461.32 0 vega
52812.730 standard::v 50211.      1017.4 0 vega
52812.730 standard::r  63915.      883.01 0 vega
52812.730 standard::i  72510.      2604.6 0 vega
52815.711 standard::b  20797.      478.87 0 vega
52815.711 standard::v 46089.      933.90 0 vega
52815.711 standard::r  58023.      1336.0 0 vega
52815.711 standard::i  62460.      2243.6 0 vega
52816.789 standard::b  19552.      396.18 0 vega
52816.789 standard::v 46047.      848.21 0 vega
52816.789 standard::r  56027.      1909.3 0 vega
52816.789 standard::i  63387.      1576.3 0 vega
