@SN 2007af
@reference Hicken SNANA database,
@time JD-2400000
@ra -144.412233
@ra_unit deg
@dec -0.393867
@dec_unit deg
@z 0.006260
@z_uncert 0.000100
@z_frame CMB
time band flux fluxerr zp zpsys
54162.3655 standard::v 116949.94E11 1169.50E11 0 vega
54162.3685 standard::b 104905.92E11 2412.84E11 0 vega
54163.4610 standard::v 160250.72E11 1442.26E11 0 vega
54163.4805 standard::v 163530.97E11 1635.31E11 0 vega
54164.4318 standard::v 202488.33E11 2024.88E11 0 vega
54165.4568 standard::v 249115.07E11 2242.04E11 0 vega
54165.4598 standard::b 242325.99E11 6542.80E11 0 vega
54168.4545 standard::v 380890.38E11 5332.47E11 0 vega
54168.4575 standard::b 371877.58E11 9668.82E11 0 vega
54169.4624 standard::v 416485.61E11 7080.26E11 0 vega
54169.4655 standard::b 405882.19E11 6494.12E11 0 vega
54170.3704 standard::v 440554.86E11 3964.99E11 0 vega
54170.3734 standard::b 433710.56E11 6071.95E11 0 vega
54170.3771 standard::b 430130.26E11 5591.69E11 0 vega
54170.3808 standard::b 432513.83E11 5622.68E11 0 vega
54171.3410 standard::v 466874.33E11 4668.74E11 0 vega
54171.3440 standard::b 456667.39E11 5936.68E11 0 vega
54171.3477 standard::b 458352.92E11 5041.88E11 0 vega
54171.3513 standard::b 459198.01E11 5510.38E11 0 vega
54172.3459 standard::v 485735.67E11 5343.09E11 0 vega
54172.3489 standard::b 466015.11E11 6990.23E11 0 vega
54174.4125 standard::v 512389.24E11 4611.50E11 0 vega
54174.4138 standard::b 483058.80E11 6279.76E11 0 vega
54175.4665 standard::v 521915.27E11 6784.90E11 0 vega
54175.4678 standard::b 487528.49E11 9750.57E11 0 vega
54176.4233 standard::v 516654.24E11 5166.54E11 0 vega
54176.4256 standard::b 465586.09E11 5587.03E11 0 vega
54177.3823 standard::v 514754.32E11 8236.07E11 0 vega
54177.3846 standard::b 463020.27E11 11112.49E11 0 vega
54179.4729 standard::v 491134.00E11 5893.61E11 0 vega
54179.4752 standard::b 397008.68E11 4764.10E11 0 vega
54185.3079 standard::v 381944.27E11 5729.16E11 0 vega
54185.3102 standard::b 239221.38E11 4305.98E11 0 vega
54188.2850 standard::v 322106.88E11 2898.96E11 0 vega
54188.2873 standard::b 175226.59E11 2628.40E11 0 vega
54189.3749 standard::v 301717.15E11 3017.17E11 0 vega
54189.3772 standard::b 154881.66E11 2013.46E11 0 vega
54190.3580 standard::v 289467.63E11 6078.82E11 0 vega
54190.3603 standard::b 136144.47E11 1906.02E11 0 vega
54191.4583 standard::v 264728.07E11 6088.75E11 0 vega
54192.3918 standard::v 251188.64E11 5777.34E11 0 vega
54193.4304 standard::v 241880.02E11 3628.20E11 0 vega
54196.3658 standard::v 206823.56E11 2895.53E11 0 vega
54197.3340 standard::b 70080.95E11  1261.46E11 0 vega
54198.2698 standard::v 191778.54E11 2493.12E11 0 vega
54198.2721 standard::b 66803.62E11  1068.86E11 0 vega
54199.4350 standard::v 179308.14E11 2510.31E11 0 vega
54199.4373 standard::b 60311.48E11  964.98E11 0 vega
54201.3299 standard::v 161733.51E11 2587.74E11 0 vega
54201.3352 standard::b 55975.76E11  1007.56E11 0 vega
54206.4304 standard::v 119563.88E11 2271.71E11 0 vega
54206.4327 standard::b 34865.83E11  767.05E11 0 vega
54207.3757 standard::v 110968.57E11 2219.37E11 0 vega
54207.3780 standard::b 35416.04E11  814.57E11 0 vega
54207.3810 standard::b 35026.76E11  770.59E11 0 vega
54207.3839 standard::b 35448.67E11  815.32E11 0 vega
54208.3395 standard::v 105390.14E11 2107.80E11 0 vega
54208.3418 standard::b 34324.17E11 961.08E11 0 vega 
54208.3448 standard::b 34514.37E11 1000.92E11 0 vega
54208.3478 standard::b 33790.92E11 1148.89E11 0 vega
54209.4177 standard::v 100092.15E11 2001.84E11 0 vega
54209.4200 standard::b 33174.16E11 1094.75E11 0 vega
54209.4230 standard::b 32508.73E11 1072.79E11 0 vega
54209.4259 standard::b 33113.11E11 1125.85E11 0 vega 
