@SN 2011by
@reference Open SN catalog; 2014Ap&SS.354...89B
@time JD-2400000
@ra 178.289226
@ra_unit deg
@dec 55.603794
@dec_unit deg
@z 0.003402
@z_uncert 0.000005
@z_frame CMB
time band flux fluxerr zp zpsys
55678.9662 standard::b 16084.220 0.019607 25 vega
55678.9710 standard::v 15848.932 0.024112 25 vega
55680.0744 standard::v 20835.312 0.026805 25 vega
55680.1051 standard::b 23078.097 0.019156 25 vega
55681.3753 standard::b 28734.259 0.018704 25 vega
55681.3792 standard::v 29566.506 0.020961 25 vega
55682.5649 standard::v 36041.263 0.020059 25 vega
55682.5666 standard::b 38124.135 0.018252 25 vega
55683.7026 standard::b 43251.383 0.018252 25 vega
55684.4044 standard::b 48439.539 0.018252 25 vega
55684.4080 standard::v 48039.668 0.019607 25 vega
55686.0227 standard::b 56806.757 0.013266 25 vega
55686.0894 standard::b 57438.091 0.013266 25 vega
55686.2213 standard::b 57332.384 0.013266 25 vega
55687.4869 standard::b 62632.536 0.013266 25 vega
55687.4900 standard::v 59979.108 0.014175 25 vega
55688.4212 standard::b 65523.939 0.013266 25 vega
55688.4862 standard::b 66191.161 0.013266 25 vega
55689.1698 standard::b 67050.188 0.013266 25 vega
55689.1727 standard::v 64983.036 0.013721 25 vega
55691.1022 standard::b 66742.120 0.013266 25 vega
55691.1689 standard::b 67920.363 0.013266 25 vega
55691.2356 standard::b 66926.791 0.013266 25 vega
55693.7677 standard::b 64744.070 0.013266 25 vega
55693.7703 standard::v 68045.592 0.013721 25 vega
55695.0371 standard::b 59813.608 0.013266 25 vega
55695.0401 standard::v 65947.753 0.013721 25 vega
55697.7798 standard::b 53112.898 0.013266 25 vega
55697.7826 standard::v 64209.605 0.013721 25 vega
55699.0507 standard::b 45793.095 0.013721 25 vega
55699.0535 standard::v 58938.625 0.014175 25 vega
55701.1283 standard::b 38124.135 0.013721 25 vega
55701.1308 standard::v 53112.898 0.014175 25 vega
55703.6659 standard::b 30988.460 0.014175 25 vega
55703.6691 standard::v 45877.527 0.014628 25 vega
55705.0040 standard::b 27264.655 0.014175 25 vega
55705.0072 standard::v 42973.428 0.014628 25 vega
55707.4771 standard::b 20361.042 0.015082 25 vega
55707.4806 standard::v 36711.320 0.015082 25 vega
55709.6828 standard::b 16054.619 0.015536 25 vega
55709.6862 standard::v 31856.642 0.015536 25 vega
55711.2217 standard::b 14034.599 0.016442 25 vega
55711.2232 standard::v 30817.684 0.019156 25 vega
55713.1625 standard::b 11492.116 0.017347 25 vega
55713.1641 standard::v 26964.974 0.019156 25 vega
55717.0431 standard::b 7899.507 0.020059 25 vega
55717.0452 standard::v 23593.914 0.018252 25 vega
55719.6607 standard::b 6854.882 0.019607 25 vega
55719.6633 standard::v 19426.743 0.018252 25 vega
55721.6731 standard::b 5685.910 0.021412 25 vega
55721.6765 standard::v 18063.421 0.017800 25 vega
55723.6808 standard::b 5238.416 0.022313 25 vega
55723.6834 standard::v 16292.960 0.019156 25 vega
55725.2512 standard::b 4499.870 0.028148 25 vega
55725.2552 standard::v 13727.770 0.026805 25 vega
55727.0883 standard::b 4003.133 0.032614 25 vega
55727.0917 standard::v 13626.992 0.029043 25 vega
