@SN 2011fe
@reference Pereira et al. (2013)
@x_1 -0.206
@c -0.066
@ra 210.774208
@ra_unit deg
@dec 54.273722
@dec_unit deg
@z 0
@z_actual 0.001208
time band flux fluxerr zp zpsys
55799.3 standard::u 0.029676 0.013721 10.0 vega
55800.2 standard::u 0.064447 0.015082 10.0 vega
55801.2 standard::u 0.116305 0.013721 10.0 vega
55802.3 standard::u 0.211641 0.015536 10.0 vega
55803.2 standard::u 0.338844 0.015536 10.0 vega
55804.2 standard::u 0.479513 0.014175 10.0 vega
55805.2 standard::u 0.705342 0.015536 10.0 vega
55806.2 standard::u 0.795060 0.015536 10.0 vega
55807.3 standard::u 1.047129 0.024561 10.0 vega
55808.2 standard::u 1.169499 0.013721 10.0 vega
55809.2 standard::u 1.388034 0.015536 10.0 vega
55813.2 standard::u 1.621810 0.014628 10.0 vega
55814.2 standard::u 1.527566 0.014175 10.0 vega
55815.2 standard::u 1.510776 0.013721 10.0 vega
55816.2 standard::u 1.426921 0.014175 10.0 vega
55817.2 standard::u 1.334136 0.014175 10.0 vega
55818.2 standard::u 1.217867 0.019156 10.0 vega
55821.2 standard::u 0.950605 0.020059 10.0 vega
55823.2 standard::u 0.800940 0.021412 10.0 vega
55826.2 standard::u 0.607016 0.024561 10.0 vega
55828.2 standard::u 0.471194 0.015536 10.0 vega
55831.2 standard::u 0.304789 0.021862 10.0 vega
55833.2 standard::u 0.227196 0.021412 10.0 vega
55836.2 standard::u 0.171396 0.025908 10.0 vega
55838.2 standard::u 0.129897 0.025908 10.0 vega
55799.3 standard::b 0.027848 0.013721 10.0 vega
55800.2 standard::b 0.058345 0.015082 10.0 vega
55801.2 standard::b 0.100277 0.013721 10.0 vega
55802.3 standard::b 0.160990 0.015536 10.0 vega
55803.2 standard::b 0.233561 0.015536 10.0 vega
55804.2 standard::b 0.312464 0.014175 10.0 vega
55805.2 standard::b 0.422669 0.015536 10.0 vega
55806.2 standard::b 0.471194 0.015536 10.0 vega
55807.3 standard::b 0.592652 0.024561 10.0 vega
