SURVEY:  CSP
PHOTOMETRY_VERSION: CSPDR2
SNTYPE: 1
SNID:  2007af
IAUC:  2007af
RA:   215.58800  deg
DECL:    0.39377777  deg
FILTERS: uBVgri
REDSHIFT_FINAL:  0.006290 +- 0.0010  (CMB)
MWEBV:    0.0308000  MW E(B-V)
SEARCH_PEAKMJD: 54174.3
NOBS: 160
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54165.3     u      CSP      135519.    1084.15    14.6700    0.00800000
OBS:      54166.3     u      CSP      168733.    1518.60    14.4320    0.00900000
OBS:      54169.3     u      CSP      244118.    1952.94    14.0310    0.00800000
OBS:      54170.3     u      CSP      260615.    2084.92    13.9600    0.00800000
OBS:      54174.3     u      CSP      264728.    2382.55    13.9430    0.00900000
OBS:      54178.3     u      CSP      207205.    1657.64    14.2090    0.00800000
OBS:      54179.3     u      CSP      184672.    1662.05    14.3340    0.00900000
OBS:      54181.3     u      CSP      149692.    1347.23    14.5620    0.00900000
OBS:      54182.3     u      CSP      133660.    1202.94    14.6850    0.00900000
OBS:      54185.3     u      CSP      94189.1    847.701    15.0650    0.00900000
OBS:      54190.3     u      CSP      51050.5    459.455    15.7300    0.00900000
OBS:      54194.3     u      CSP      32568.6    390.824    16.2180    0.0120000
OBS:      54197.3     u      CSP      23966.2    311.561    16.5510    0.0130000
OBS:      54199.2     u      CSP      21105.7    295.480    16.6890    0.0140000
OBS:      54202.3     u      CSP      17346.0    208.152    16.9020    0.0120000
OBS:      54204.3     u      CSP      15303.8    214.254    17.0380    0.0140000
OBS:      54207.2     u      CSP      13109.9    196.649    17.2060    0.0150000
OBS:      54211.3     u      CSP      11355.3    193.041    17.3620    0.0170000
OBS:      54213.2     u      CSP      10794.4    194.300    17.4170    0.0180000
OBS:      54218.2     u      CSP      9418.89    169.540    17.5650    0.0180000
OBS:      54224.3     u      CSP      8661.64    233.864    17.6560    0.0270000
OBS:      54239.2     u      CSP      6292.16    144.720    18.0030    0.0230000
OBS:      54246.2     u      CSP      5410.04    124.431    18.1670    0.0230000
OBS:      54256.2     u      CSP      4803.97    182.551    18.2960    0.0380000
OBS:      54165.3     B      CSP      235288.    1411.73    14.0710    0.00600000
OBS:      54166.3     B      CSP      278228.    1669.37    13.8890    0.00600000
OBS:      54169.3     B      CSP      406257.    2437.54    13.4780    0.00600000
OBS:      54170.3     B      CSP      433711.    3035.98    13.4070    0.00700000
OBS:      54171.3     B      CSP      459198.    3214.39    13.3450    0.00700000
OBS:      54172.3     B      CSP      478630.    4307.67    13.3000    0.00900000
OBS:      54174.3     B      CSP      487529.    3412.70    13.2800    0.00700000
OBS:      54178.3     B      CSP      426580.    3412.64    13.4250    0.00800000
OBS:      54179.3     B      CSP      402902.    2417.41    13.4870    0.00600000
OBS:      54181.3     B      CSP      352533.    2115.20    13.6320    0.00600000
OBS:      54182.3     B      CSP      326287.    2610.30    13.7160    0.00800000
OBS:      54185.3     B      CSP      246150.    1476.90    14.0220    0.00600000
OBS:      54190.3     B      CSP      143615.    1005.31    14.6070    0.00700000
OBS:      54194.3     B      CSP      94362.6    566.176    15.0630    0.00600000
OBS:      54197.3     B      CSP      73519.1    441.115    15.3340    0.00600000
OBS:      54199.2     B      CSP      63270.4    442.893    15.4970    0.00700000
OBS:      54202.3     B      CSP      50722.4    405.779    15.7370    0.00800000
OBS:      54204.3     B      CSP      44668.4    357.347    15.8750    0.00800000
OBS:      54207.2     B      CSP      38229.6    344.066    16.0440    0.00900000
OBS:      54211.3     B      CSP      31915.4    255.323    16.2400    0.00800000
OBS:      54213.2     B      CSP      29977.8    269.800    16.3080    0.00900000
OBS:      54218.2     B      CSP      26472.8    185.309    16.4430    0.00700000
OBS:      54224.3     B      CSP      24010.4    240.104    16.5490    0.0100000
OBS:      54226.3     B      CSP      23014.4    207.130    16.5950    0.00900000
OBS:      54231.3     B      CSP      21637.1    173.097    16.6620    0.00800000
OBS:      54239.2     B      CSP      19195.5    172.760    16.7920    0.00900000
OBS:      54246.2     B      CSP      17881.4    125.169    16.8690    0.00700000
OBS:      54256.2     B      CSP      15718.1    125.745    17.0090    0.00800000
OBS:      54165.3     V      CSP      243444.    1460.67    14.0340    0.00600000
OBS:      54166.3     V      CSP      286814.    1434.07    13.8560    0.00500000
OBS:      54169.3     V      CSP      418794.    2512.76    13.4450    0.00600000
OBS:      54170.3     V      CSP      449987.    3599.90    13.3670    0.00800000
OBS:      54171.3     V      CSP      479072.    3832.57    13.2990    0.00800000
OBS:      54172.3     V      CSP      504894.    4039.15    13.2420    0.00800000
OBS:      54174.3     V      CSP      519996.    4679.96    13.2100    0.00900000
OBS:      54179.3     V      CSP      499344.    3994.75    13.2540    0.00800000
OBS:      54181.3     V      CSP      468598.    3280.18    13.3230    0.00700000
OBS:      54182.3     V      CSP      455827.    3646.62    13.3530    0.00800000
OBS:      54185.3     V      CSP      389404.    2725.83    13.5240    0.00700000
OBS:      54190.3     V      CSP      288669.    1732.01    13.8490    0.00600000
OBS:      54194.3     V      CSP      228665.    1829.32    14.1020    0.00800000
OBS:      54197.3     V      CSP      195884.    1371.19    14.2700    0.00700000
OBS:      54199.2     V      CSP      177992.    1601.93    14.3740    0.00900000
