SURVEY:  LOWZ                
SNID:    1994ae        
IAUC:    1994ae                
RA:        161.752823  deg
DECL:       17.273630  deg
MWEBV:    0.030  MW E(B-V)
REDSHIFT_FINAL:  0.0055 +- 0.0001  (CMB)
SEARCH_PEAKMJD:  49684.660
FILTERS:    UBVRIX              
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 162
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 49672.969  B  NULL   0.11324E+06  4276.2      14.865   0.041
OBS: 49672.969  V  NULL   0.11663E+06  2900.3      14.833   0.027
OBS: 49672.969  R  NULL   0.13050E+06  2644.2      14.711   0.022
OBS: 49672.969  I  NULL   0.14468E+06  3731.1      14.599   0.028
OBS: 49674.961  B  NULL   0.22720E+06  9207.2      14.109   0.044
OBS: 49674.961  V  NULL   0.22223E+06  8187.2      14.133   0.040
OBS: 49674.961  R  NULL   0.24957E+06  5976.5      14.007   0.026
OBS: 49674.961  I  NULL   0.26254E+06  5803.5      13.952   0.024
OBS: 49676.961  B  NULL   0.32211E+06  49544.      13.730   0.167
OBS: 49676.961  V  NULL   0.32689E+06  16860.      13.714   0.056
OBS: 49676.961  R  NULL   0.36983E+06  6471.9      13.580   0.019
OBS: 49676.961  I  NULL   0.36509E+06  11097.      13.594   0.033
OBS: 49678.000  B  NULL   0.38797E+06  15723.      13.528   0.044
OBS: 49678.000  V  NULL   0.39337E+06  14130.      13.513   0.039
OBS: 49678.000  R  NULL   0.42306E+06  9741.3      13.434   0.025
OBS: 49685.000  R  NULL   0.57227E+06  10542.      13.106   0.020
OBS: 49685.000  I  NULL   0.48040E+06  13274.      13.296   0.030
OBS: 49686.000  U  NULL   0.95675E+06  74021.      12.548   0.084
OBS: 49686.000  B  NULL   0.59759E+06  13210.      13.059   0.024
OBS: 49686.000  V  NULL   0.60534E+06  16726.      13.045   0.030
OBS: 49686.000  R  NULL   0.60478E+06  15597.      13.046   0.028
OBS: 49686.000  I  NULL   0.48440E+06  17400.      13.287   0.039
OBS: 49686.988  U  NULL   0.90532E+06  36688.      12.608   0.044
OBS: 49686.988  B  NULL   0.58506E+06  15088.      13.082   0.028
OBS: 49686.988  V  NULL   0.58776E+06  11368.      13.077   0.021
OBS: 49686.988  R  NULL   0.59484E+06  9861.6      13.064   0.018
OBS: 49686.988  I  NULL   0.46903E+06  13392.      13.322   0.031
OBS: 49688.039  B  NULL   0.57332E+06  18482.      13.104   0.035
OBS: 49688.039  V  NULL   0.56598E+06  15639.      13.118   0.030
OBS: 49688.039  R  NULL   0.57703E+06  7972.0      13.097   0.015
OBS: 49688.039  I  NULL   0.45165E+06  17471.      13.363   0.042
OBS: 49689.031  U  NULL   0.81059E+06  38822.      12.728   0.052
OBS: 49689.059  B  NULL   0.52966E+06  22928.      13.190   0.047
OBS: 49689.059  V  NULL   0.56494E+06  12488.      13.120   0.024
OBS: 49689.059  R  NULL   0.57703E+06  53147.      13.097   0.100
OBS: 49689.059  I  NULL   0.44340E+06  28587.      13.383   0.070
OBS: 49690.031  U  NULL   0.79214E+06  37938.      12.753   0.052
OBS: 49690.031  B  NULL   0.51004E+06  18790.      13.231   0.040
OBS: 49690.031  V  NULL   0.55412E+06  18373.      13.141   0.036
