SURVEY:  LOWZ                
SNID:    1995al        
IAUC:    1995al                
RA:        147.727417  deg
DECL:       33.558121  deg
MWEBV:    0.014  MW E(B-V)
REDSHIFT_FINAL:  0.0059 +- 0.0001  (CMB)
SEARCH_PEAKMJD:  50028.961
FILTERS:    UBVRIX              
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  97
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50025.000  B  NULL   0.41553E+06  15309.      13.454   0.040
OBS: 50025.000  V  NULL   0.43267E+06  15940.      13.410   0.040
OBS: 50025.000  R  NULL   0.45319E+06  16696.      13.359   0.040
OBS: 50025.000  I  NULL   0.38576E+06  14212.      13.534   0.040
OBS: 50026.000  B  NULL   0.43914E+06  16178.      13.393   0.040
OBS: 50026.000  R  NULL   0.47381E+06  17456.      13.311   0.040
OBS: 50026.000  I  NULL   0.39286E+06  14474.      13.514   0.040
OBS: 50026.031  U  NULL   0.75928E+06  71331.      12.799   0.102
OBS: 50030.000  B  NULL   0.45248E+06  16670.      13.361   0.040
OBS: 50030.000  V  NULL   0.50262E+06  18517.      13.247   0.040
OBS: 50030.000  R  NULL   0.51933E+06  19133.      13.211   0.040
OBS: 50030.000  I  NULL   0.38191E+06  14070.      13.545   0.040
OBS: 50030.020  U  NULL   0.69311E+06  64476.      12.898   0.101
OBS: 50031.000  B  NULL   0.42177E+06  23308.      13.437   0.060
OBS: 50031.000  V  NULL   0.49440E+06  27322.      13.265   0.060
OBS: 50031.000  R  NULL   0.48820E+06  26979.      13.278   0.060
OBS: 50031.000  I  NULL   0.36131E+06  19967.      13.605   0.060
OBS: 50032.000  B  NULL   0.43009E+06  15845.      13.416   0.040
OBS: 50032.000  V  NULL   0.49879E+06  18376.      13.255   0.040
OBS: 50032.000  R  NULL   0.50891E+06  18749.      13.233   0.040
OBS: 50032.000  I  NULL   0.35796E+06  13188.      13.615   0.040
OBS: 50034.898  B  NULL   0.37363E+06  10324.      13.569   0.030
OBS: 50034.898  V  NULL   0.48739E+06  22445.      13.280   0.050
OBS: 50034.898  R  NULL   0.46675E+06  21494.      13.327   0.050
OBS: 50034.898  I  NULL   0.35534E+06  16364.      13.623   0.050
OBS: 50035.000  B  NULL   0.37802E+06  20890.      13.556   0.060
OBS: 50035.000  V  NULL   0.47788E+06  26409.      13.302   0.060
OBS: 50035.000  R  NULL   0.45541E+06  25167.      13.354   0.060
OBS: 50035.000  I  NULL   0.32638E+06  18036.      13.716   0.060
OBS: 50035.012  U  NULL   0.53260E+06  71619.      13.184   0.146
OBS: 50037.000  B  NULL   0.34000E+06  9394.6      13.671   0.030
OBS: 50037.000  V  NULL   0.45215E+06  20822.      13.362   0.050
OBS: 50037.000  R  NULL   0.41515E+06  15295.      13.454   0.040
OBS: 50037.000  I  NULL   0.29482E+06  10862.      13.826   0.040
OBS: 50038.000  B  NULL   0.32101E+06  11826.      13.734   0.040
OBS: 50038.000  V  NULL   0.43287E+06  15948.      13.409   0.040
OBS: 50038.000  R  NULL   0.38980E+06  14361.      13.523   0.040
OBS: 50038.000  I  NULL   0.28158E+06  10374.      13.876   0.040
OBS: 50039.898  B  NULL   0.28361E+06  7836.4      13.868   0.030
OBS: 50039.898  V  NULL   0.39950E+06  18398.      13.496   0.050
OBS: 50039.898  R  NULL   0.36949E+06  17016.      13.581   0.050
OBS: 50039.898  I  NULL   0.27512E+06  12670.      13.901   0.050
OBS: 50042.000  B  NULL   0.23951E+06  6617.9      14.052   0.030
