event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2002fk,52535.49,15.06300,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52535.49,14.87800,0.02500,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52535.49,15.05100,0.01300,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52535.49,15.14600,0.03200,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52536.50,14.67100,0.01100,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52536.50,14.51800,0.02000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52536.50,14.68800,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52536.50,14.75500,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52536.64,13.73,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52536.64,14.19,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52536.84,14.5,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52537.09,14.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52537.42,14.1,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52537.47,14.34900,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52537.47,14.23900,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52537.47,14.36900,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52537.47,14.44400,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52538.0,14.1,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52538.99,13.9,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52540.09,13.7,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52541.06,13.6,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52541.42,13.19,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52541.49,13.60400,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52541.49,13.60300,0.01400,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52541.49,13.64700,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52541.49,13.70800,0.01100,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52541.52,13.27,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52541.69,12.89,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52542.69,12.53,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52542.69,13.34,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52543.04,13.1,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52543.50,13.47700,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52543.50,13.55700,0.02000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52543.50,13.54800,0.01800,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52543.50,13.58400,0.02700,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52544.06,13.01,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52544.46,13.39100,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52544.46,13.51000,0.01100,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52544.46,13.46500,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52544.46,13.50100,0.01900,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52544.91219,13.333,0.028,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52544.91465,13.402,0.016,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52544.91646,13.374,0.021,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52544.91789,13.505,0.021,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52545.04,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52545.07,13.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52545.99,13.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52546.04,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52546.2,13,,,C,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52546.2,13.7,,,C,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52547.42,13.4,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52547.47,13.58700,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52547.47,13.44900,0.01100,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52547.87,13.2,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52548.05,13.01,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52548.49,13.32700,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52548.49,13.57300,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52548.49,13.35900,0.01800,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52548.49,13.36300,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52548.85,13.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52549.04,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52549.48,13.31500,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
