SNID	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
762	15.5360688758	-0.879656544293	4.505489	20.33951	18.50064	17.4625	17.0138	16.70294	0.1288952	0.01352759	0.008268639	0.008386995	0.02091749	0.1913911
1032	46.7959160156	1.11997988304	2.522602	21.48989	19.39842	18.29907	17.82622	17.47092	0.1864769	0.01453696	0.008956809	0.009073975	0.02123383	0.1297552
1371	349.373744326	0.429687074666	3.021059	20.60242	18.61513	17.54534	17.10148	16.68448	0.08341342	0.009110699	0.005850279	0.006095658	0.01183973	0.1190151
1794	317.836954502	-0.445390108886	3.492784	22.36983	20.76017	20.37079	20.09793	20.12148	0.44993	0.05189762	0.06145645	0.07756505	0.2940916	0.1427668
2372	40.520832897	-0.541037218526	2.251427	21.78916	20.49779	19.52882	19.01681	18.59137	0.2365293	0.03243874	0.02154168	0.02092914	0.05128233	0.180438
2440	42.6338902389	0.807330739222	2.587684	20.47062	19.51568	18.90152	18.5062	18.34634	0.06938611	0.01555354	0.0125478	0.0129412	0.03645731	0.1911259
3087	20.4066041137	-0.977154295079	3.313881	21.27563	20.57778	20.03684	19.6867	19.50677	0.1806452	0.04554747	0.03775446	0.04247925	0.1377512	0.1654937
3317	26.9626808507	0.640418353686	2.960112	21.20322	20.08144	19.34263	19.05149	18.83321	0.1740738	0.03179086	0.02470266	0.03122757	0.08991686	0.16101099550724
3592	19.052656073	0.791713429897	1.136471	24.63385	21.7117	21.19035	20.96469	20.68213	0.8865154	0.07109116	0.05836102	0.0736111	0.2137315	0.08660961
3674	359.788918253	0.163242572	1.729951	22.82349	20.97626	19.63145	19.14325	18.83015	0.3801482	0.0378808	0.01885512	0.01754951	0.04884331	0.1881577
3901	14.8504232858	0.0026231287935	6.093602	18.92379	17.42617	17.16053	16.88523	16.71939	0.04716881	0.00702744	0.007893242	0.00853635	0.02669488	0.06282441
4019	1.26189149256	1.14640626365	4.176445	19.60284	18.50002	17.68002	17.23691	16.96841	0.06003881	0.01006472	0.007631421	0.007734876	0.01964032	0.1813156
