SNID	ra	dec	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	hr
762	15.5360688758	-0.879656544293	0.19138100743293762	2.409999979136046e-05	39.90730667114258	0.08214540034532547	24.65394427724391	23.82255491887339	22.95361668199279	22.613364261969778	22.179238577001566	0.7926700445631036	0.09080151388396199	0.042879995740405755	0.042785508038313325	0.1359896279417284	0.15382541217564238
1032	46.7959160156	1.11997988304	0.1297551989555359	3.396579995751381e-05	38.667022705078125	0.12440700083971024	24.920457094220268	24.74364320494908	23.73052934437763	23.32075466396094	22.86597812928584	0.6110913525116782	0.16137279737531657	0.09854286683048548	0.11723403829675755	0.2658210630939464	-0.15412571647477336
1371	349.373744326	0.429687074666	0.11934299767017365	2.6199999410891905e-05	38.486148834228516	0.06189880147576332	23.228620692575124	21.51796348059298	20.423610925906143	19.999402127625444	19.617179617688983	0.16215844609857405	0.0164839227609026	0.0076637604363521345	0.006428347306453996	0.015407534101978025	-0.13769898055825536
1794	317.836954502	-0.445390108886	0.14191000163555145	6.340000254567713e-05	39.307220458984375	0.08301299810409546	23.759709967134597	23.76929287316392	23.08884503901309	22.890120713108843	22.809261371932898	0.4386832222739788	0.11165372318434667	0.08013154936111631	0.06827074991654668	0.24501619296683821	0.273617171930681
2372	40.520832897	-0.541037218526	0.1804649978876114	2.2899999748915434e-05	39.48801040649414	0.06899499893188477	24.80709206691033	22.845644619264924	21.836987314282478	21.403763415194636	21.018580427463558	0.8706918423215988	0.030426102428682007	0.015505878204636064	0.012495880261464726	0.03254916419612689	-0.12278133264735658
2440	42.6338902389	0.807330739222	0.19113899767398834	6.000000212225132e-06	39.94658279418945	0.0806369036436081	23.701208103774967	22.903913498261673	22.360453415095478	22.00676538091555	21.91838614942831	0.20783576475761362	0.032272782115063854	0.02703164975760129	0.02449029033289014	0.08174522586114158	0.19618300559947954
3087	20.4066041137	-0.977154295079	0.16550999879837036	1.5400000847876072e-05	39.34550857543945	0.06497160345315933	23.626963200811723	22.682219683589263	22.138831379758983	21.858965202391882	21.607615503981275	0.4143696184255754	0.03411050714948586	0.020505491829199744	0.021389980777395772	0.07424017051421204	-0.05632099314154715
3317	26.9626808507	0.640418353686	0.1610109955072403	2.9999999242136255e-05	39.17323303222656	0.06671889871358871	24.061045575987556	22.69789331306431	21.9424516919955	21.576390581838506	21.320534943956307	0.3144378686245708	0.027979414820568056	0.017860611067725195	0.016846089331560673	0.044176144093225754	-0.16231956463560948
3592	19.052656073	0.791713429897	0.08657780289649963	4.6799999836366624e-05	37.87779235839844	0.059262100607156754	24.431060256826388	23.478821913474647	23.065440259525868	22.751584402884152	22.467016054496177	0.5800508491173569	0.06618276661975436	0.052097217057239874	0.05292963998195881	0.14367222607980273	0.0016127603861377793
3674	359.788918253	0.163242572	0.188168004155159	5.0099999498343095e-05	40.1631965637207	0.13246899843215942	23.701208103774967	24.11447225286288	23.63970174589721	23.85227489616455	24.071548088390795	0.32626327751641043	0.10714502020639435	0.07954662107559167	0.13278190140486978	0.7541282855627668	0.4509208100634581
3901	14.8504232858	0.0026231287935	0.06286069750785828	8.300000445160549e-06	37.14672088623047	0.08016259968280792	21.80168480004368	20.716404940728864	20.30015578247997	20.0816354152132	19.954614098212787	0.039937111990306993	0.005531643753916885	0.003910463839867787	0.003768484629935432	0.010995014815220996	0.0038004001742493188
4019	1.26189149256	1.14640626365	0.1814039945602417	4.6299999667098746e-05	39.57805633544922	0.08171349763870239	24.56286611530066	24.381735524054253	23.457668170814962	23.924662640036033	22.944122363611946	0.8002581527613316	0.17511874270292407	0.12273225627971136	0.2787641033083986	0.3632624864178319	-0.04531718687162112
5103	359.88435201	0.736853739454	0.1619890034198761	1.0099999599333387e-05	39.273841857910156	0.0646383985877037	23.960108263000865	23.389087292483982	23.080136563224706	22.82045050803542	22.856801664170916	0.3295534115478068	0.06774831158984206	0.05561336763093802	0.05940820743016181	0.21976397319721744	-0.07626245134456866
5550	3.59849197531	0.333176421282	0.15629099309444427	1.4600000213249587e-05	39.40480041503906	0.06722459942102432	23.889262187825622	23.41447375047266	22.83623007103657	22.584863892777154	22.679746881663583	0.38398512112832067	0.06650481356510793	0.04254912153781859	0.039801705421597895	0.18464925445236566	0.14064569934541282
5751	11.6343617536	0.838162572663	0.13055500388145447	1.340000017080456e-05	38.79825973510742	0.056200701743364334	23.213516574554134	21.86644676162018	20.94189101307522	20.45361668199279	20.067861323763736	0.12772688402414978	0.012922729935550815	0.007482680335742911	0.006561642893665818	0.014931657978658416	-0.03742663113685296
5890	332.515785227	0.60969181226	0.17997199296951294	1.5600000551785342e-05	39.72639083862305	0.0818822979927063	24.298075875164496	24.991362908796205	23.580684332699796	23.318845956399766	22.853069895806346	0.4821665038588259	0.3105917503775305	0.09821786531865641	0.10679372505817668	0.24657760471765827	0.12222909227415357
5916	5.43714697377	-0.324991509354	0.1740739941596985	1.920000067912042e-05	39.31669998168945	0.0702420026063919	23.17386608895555	21.74384270501749	20.541544137772586	20.019307848936347	19.653509548026985	0.1998488823614733	0.016734583556730433	0.007607539393883492	0.006532071475780616	0.014577899242429007	-0.20682121047639868
5944	29.202113954	-0.212564848	0.04591529816389084	1.5999999959603883e-05	36.55533981323242	0.0843873992562294	23.65692234804868	23.108567367047577	22.442068687360674	22.125407328681234	21.85318164603794	0.15717572076874284	0.03168170912967644	0.019551756146780206	0.01869490777375613	0.0608790154884112	0.12252422257454043
6057	52.5537049033	-0.974470847362	0.06707180291414261	8.847900062392e-06	37.21722412109375	0.09426180273294449	23.00047691643251	21.79964349918034	21.13373848772628	20.760076305476225	20.52396098094458	0.19974701443868995	0.014423145017405348	0.008758951698792108	0.008611218928475457	0.025653606444418987	-0.0733583697909026
6406	46.0885711053	-1.06310220709	0.12448839843273163	1.260190038010478e-05	38.62273406982422	0.06805960088968277	23.44331586394212	21.87903174378131	20.986954806968953	20.518162642972655	20.204010152932028	0.2938545394624432	0.01657718172413236	0.00881650451984045	0.007821348692065886	0.021122963584759354	-0.10053970820153779
6422	349.138851263	-0.663468875572	0.18645499646663666	2.9200000426499173e-05	39.74188232421875	0.06559640169143677	23.619391201239054	23.114870642834198	22.468757877658135	22.10318878543307	21.674013075279944	0.6163963380217581	0.0598445574286868	0.03506779767575762	0.028009628825214503	0.08150706927096743	0.05184011383951059
6530	14.3291360946	0.0213559327165	0.19482499361038208	6.479999865405262e-05	39.669368743896484	0.10190600156784058	25.42008294163295	22.449178969515753	21.176185915066096	20.674422448795937	20.331350349542767	1.4661401305128026	0.027304624818214298	0.011272574428570978	0.009677576935286453	0.02676201796182594	-0.1275808681500834
6558	21.70191119	-1.23812378677	0.05738519877195358	1.2700000297627412e-05	36.99238967895508	0.08384030312299728	22.8477021074773	21.848248715222645	21.101925899087387	20.724533485041622	20.557416306480917	0.1890564939241204	0.01899792271244959	0.010766609021347713	0.009633504811944114	0.03192753956927955	0.056341602241374744
6936	323.233882079	-0.700060094909	0.18021200597286224	2.6699999580159783e-05	39.60319137573242	0.0745697021484375	23.395207963778105	23.036631295884508	22.2924214129036	21.95704247691802	21.525980812784073	0.2659780903616021	0.050046802034223486	0.02862530166775869	0.025207505004406217	0.07647094302350352	-0.004200180543037391
6962	38.8607664275	1.07451656216	0.09422019869089127	1.4899999769113492e-05	38.0338134765625	0.06736390292644501	21.843174789903756	20.114692786093634	19.13315089843041	18.693102196491104	18.316306221429393	0.05163329642721018	0.00506145160650943	0.0029296575579554384	0.0029449472925753557	0.006093948125888357	-0.03808136261220341
7147	350.018524626	-0.0556015240036	0.11021699756383896	1.9799999790848233e-05	38.252906799316406	0.07908099889755249	22.878617808760563	21.05430887686653	20.004494567773918	19.57149665465486	19.19560573329877	0.1443410426778372	0.010036150663618782	0.004831165800486256	0.004141031738637632	0.010067683883689995	-0.18429427761730466
7600	347.613583765	-1.10771429114	0.18807700276374817	3.270000161137432e-05	39.41433334350586	0.09766270220279694	24.12791518973904	22.063866148718287	20.766720608966963	20.247445393105586	19.881696180361196	0.7063245027623504	0.023651680686032232	0.009118487657148353	0.008093260191123379	0.02011387323262714	-0.29676596746875816
7876	19.1824345269	0.794563167128	0.07602299749851227	1.049999991664663e-05	37.5906867980957	0.06500960141420364	22.37554619896048	21.620175149600517	21.289696570085425	20.99814421762941	20.90479812509873	0.08225678270331112	0.016701588158924807	0.011514492361210877	0.011674663472433754	0.03458117975357642	0.013630441585497977
8213	357.521088751	-0.921527774274	0.18611200153827667	6.420000136131421e-05	39.44915771484375	0.09009689837694168	25.21125083468403	23.954157754572524	22.698611155209306	22.054502001925968	21.689635448472448	1.4351768969552927	0.13237902013027433	0.041110051403705626	0.03189957641606198	0.09188852434054309	-0.23641013709705305
8254	351.163752822	0.819966231914	0.18919500708580017	1.7899999875226058e-05	39.80006408691406	0.1084590032696724	23.81049105915016	22.893122948256362	22.236582246582948	21.932477667216673	21.750719206789363	0.36811056223935845	0.03846890500798483	0.027424927038942382	0.02785257311683575	0.08454945749207643	0.0745476134729941
