SNID	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
1371	349.373744326	0.429687074666	3.021059	20.60242	18.61513	17.54534	17.10148	16.68448	0.08341342	0.009110699	0.005850279	0.006095658	0.01183973	0.1190151
1580	45.3238268384	-0.642272136856	5.61083	24.99289	20.406	19.20955	18.72379	18.27818	1.350725	0.0325167	0.01777018	0.01698192	0.03947106	0.183
2372	40.520832897	-0.541037218526	2.251427	21.78916	20.49779	19.52882	19.01681	18.59137	0.2365293	0.03243874	0.02154168	0.02092914	0.05128233	0.180438
2635	52.7040279254	-1.23761336043	3.46942	20.85933	19.56527	18.99443	18.62055	18.4629	0.1168781	0.0204545	0.01711036	0.01884485	0.05581034	0.1437
3080	16.9316961311	-1.039474969	2.516433	20.77594	19.1507	18.1686	17.70766	17.40023	0.09604613	0.0125593	0.008119413	0.007925355	0.01882662	0.1744608
3256	329.267460536	-0.223456900562	1.896163	21.2281	19.82003	19.10782	18.71537	18.50422	0.135717	0.01857562	0.01438417	0.01477678	0.04622825	0.1082426
3592	19.0529456985	0.790553125677	6.08462	19.14152	17.63061	16.88384	16.474	16.1769	0.04286669	0.006507197	0.005130475	0.005563686	0.01263956	0.0864215
5103	359.88435201	0.736853739454	2.127625	21.73764	21.25979	20.83803	20.6519	20.81582	0.1786033	0.05501135	0.05805276	0.08203574	0.2867578	0.16198
5944	29.2021139562	-0.212564825962	13.82017	17.61561	15.88447	15.09211	14.69302	14.4096	0.02147352	0.003358241	0.00279535	0.002778802	0.005777733	0.04589022
6936	323.233882079	-0.700060094909	4.233948	21.16635	20.06941	19.27059	18.93154	18.65802	0.2213052	0.03579038	0.02705992	0.03152927	0.09376179	0.1801979
8213	357.521088751	-0.921527774274	3.563407	22.52747	21.68828	20.40563	19.7515	19.32203	0.4247918	0.1075074	0.04518262	0.04026719	0.1084794	0.1861762
8719	7.72191919728	-0.718633658324	2.721117	20.7746	20.1226	19.75309	19.4227	19.40837	0.1109491	0.03223075	0.03532319	0.03791659	0.1191841	0.1175697
12781	5.4078778132	-1.01061786606	6.557964	19.42952	17.3858	16.41786	15.99325	15.66507	0.05690448	0.006244213	0.004405175	0.004292013	0.008970502	0.08430576
12843	323.878484626	-0.979633752443	3.380853	20.1494	18.29919	17.19102	16.7773	16.42984	0.08538748	0.01022651	0.006639799	0.006632558	0.0154364	0.1669515
12856	332.865364736	0.755585755036	5.553512	20.49372	19.08951	18.47806	18.0794	18.10998	0.112689	0.0179578	0.01656681	0.01905385	0.06334163	0.1716726
12860	323.694965369	1.17540944639	4.472718	20.80294	19.14211	18.31986	17.86434	17.40596	0.140136	0.01503123	0.01108961	0.01107493	0.02520769	0.1217078
