# sn id,local age,sigma_a,global age,sigma_a,log(M/M_sun),PC_1
762,5.1,2.7,8.0,3.9,11.1,0.07
1032,5.8,2.6,8.6,4.3,10.5,-1.78
1371,8.9,4.3,8.1,1.3,10.7,-0.82
1794,4.0,1.4,2.0,0.9,8.8,2.20
2372,5.9,1.5,4.8,2.9,10.2,-0.07
2440,3.6,1.4,4.2,0.7,10.3,0.80
3087,1.9,0.8,2.4,1.1,9.7,1.75
3317,5.4,2.3,4.4,1.7,10.0,-0.07
3592,3.5,1.0,2.4,1.2,8.5,1.90
3674,2.3,1.0,7.8,3.7,10.3,0.69
3901,3.2,0.6,1.2,0.3,9.6,1.73
4019,3.1,1.3,4.6,1.5,10.9,0.30
5103,2.5,1.0,3.4,1.2,8.9,1.80
5550,2.0,1.0,1.3,0.5,9.5,2.63
5751,6.7,1.3,5.9,2.7,10.4,-0.34
5890,3.5,1.5,5.3,2.2,10.5,0.56
5916,8.4,4.0,6.0,2.3,10.7,-1.51
5944,6.0,1.9,6.0,0.7,10.7,-0.05
6057,6.3,1.3,4.8,1.0,10.0,-0.45
6406,6.4,1.9,3.7,1.7,10.3,-0.29
6422,3.1,1.1,3.1,1.2,9.7,1.64
6530,8.1,2.2,7.9,3.7,10.1,-1.48
6558,6.2,3.8,6.5,2.6,9.6,0.90
6936,3.1,2.0,5.0,1.3,10.2,0.82
6962,7.0,0.9,3.2,3.1,10.9,-1.80
7147,9.6,4.3,9.2,4.2,10.4,-2.51
7600,8.2,4.0,7.9,3.8,10.8,-2.68
7876,3.3,0.9,1.3,0.5,7.7,2.98
8213,8.0,3.8,7.4,3.6,10.0,-1.23
8254,3.7,1.4,4.1,0.9,9.7,0.40
8555,4.5,0.7,4.1,1.4,9.9,-0.31
8719,2.6,1.1,4.7,1.0,9.3,1.66
8921,4.9,2.2,3.4,1.0,10.1,0.71
10028,6.3,0.7,6.0,0.9,10.5,-1.12
10805,4.0,1.8,6.0,0.6,9.9,0.40
11172,5.0,0.4,4.5,0.4,10.2,-0.66
12860,5.5,1.6,7.3,1.1,10.3,-0.41
12898,6.7,0.6,6.1,1.8,9.8,-0.10
12950,2.1,0.5,2.0,0.5,9.8,1.19
13135,5.3,2.4,9.5,1.1,10.9,-1.12
13354,6.1,2.9,4.9,0.6,10.3,0.18
13736,2.5,1.2,3.3,1.2,9.6,1.96
13896,3.9,1.5,2.6,1.2,8.5,1.28
14279,7.3,3.6,7.4,0.7,10.4,-0.91
14284,5.0,0.9,4.2,0.6,10.5,-0.21
14377,5.3,2.5,5.9,0.8,10.5,-0.24
14421,5.3,0.8,8.5,4.1,11.4,-1.02
14437,6.6,2.9,7.4,3.7,9.8,0.48
14784,3.7,1.2,7.8,3.0,10.4,0.58
14816,8.5,3.7,9.2,4.4,10.4,-1.48
15129,4.4,2.3,1.9,1.2,10.7,-0.41
