# logzsol	dust2	tau	tStart	sfTrans	sfSlope	c	age
# dex		1/Gyr	Gyr	Gyr		mag	Gyr
-3.835206482825653101e-02	2.082142413028211236e-01	2.126241900613639935e+00	3.426582346965292292e+00	7.788653807521927597e+00	-2.008691192871443931e+00	-2.496097163013469711e+01	7.151456997374209479e+00
-3.835206482825653101e-02	2.082142413028211236e-01	2.126241900613639935e+00	3.426582346965292292e+00	7.788653807521927597e+00	-2.008691192871443931e+00	-2.496097163013469711e+01	7.151456997374209479e+00
-3.835206482825653101e-02	2.082142413028211236e-01	2.126241900613639935e+00	3.426582346965292292e+00	7.788653807521927597e+00	-2.008691192871443931e+00	-2.496097163013469711e+01	7.151456997374209479e+00
-3.836588979908334834e-02	2.083196451154876450e-01	2.126968227988446536e+00	3.427678821504946516e+00	7.790374183359337401e+00	-2.008578301361529039e+00	-2.496070888429590084e+01	7.149868339108470749e+00
-3.840440986624393122e-02	2.083439555391955467e-01	2.127461924290636741e+00	3.427767856320094175e+00	7.796110126504873783e+00	-2.009428398570762830e+00	-2.496229322380711579e+01	7.147446543648620754e+00
-3.846234881761382424e-02	2.084130344962627501e-01	2.125354751857300162e+00	3.424035175780618889e+00	7.798682201606296438e+00	-2.005546521672425975e+00	-2.496584579710679819e+01	7.149362196883706666e+00
-3.846096662647827125e-02	2.084091230425791086e-01	2.125424055261110556e+00	3.424065606820761776e+00	7.798985739184327137e+00	-2.005379612305752346e+00	-2.496575896599038202e+01	7.149198201360650984e+00
-3.846175110931821656e-02	2.083879418192390309e-01	2.125503302055540722e+00	3.424078494900482106e+00	7.798624068322554059e+00	-2.005514619767720941e+00	-2.496590873185530057e+01	7.149306347905824310e+00
-3.846175110931821656e-02	2.083879418192390309e-01	2.125503302055540722e+00	3.424078494900482106e+00	7.798624068322554059e+00	-2.005514619767720941e+00	-2.496590873185530057e+01	7.149306347905824310e+00
-3.844254954743578367e-02	2.084373399867651411e-01	2.124394083456323301e+00	3.424519605882174744e+00	7.788845833939403107e+00	-2.003021206805982501e+00	-2.496587323158672334e+01	7.153131813448133869e+00
