# sn id, amp_1, amp_2, mean_1, mean_2, std_1, std_2
5.916000000000000000e+03,6.425255895561835517e-01,3.574744104436736181e-01,6.653326888450842524e+00,2.998386438504129448e+00,8.289243243142321305e-01,1.241565915009213983e+00
1.544300000000000000e+04,2.206803042706886320e-01,7.793196957293651028e-01,3.494863667988290512e+00,5.536157721621659533e+00,1.081419934882269285e+00,6.932656406979643693e-01
5.751000000000000000e+03,5.932111807461807329e-01,4.067888192538712255e-01,7.126018494696944927e+00,2.783159236951290083e+00,1.147208415938425707e+00,1.172829048968717425e+00
2.076400000000000000e+04,7.669681581088199085e-01,2.330318418911064837e-01,6.298508349715110199e+00,2.949917119819196021e+00,8.432466538855956095e-01,1.210777010119789443e+00
3.901000000000000000e+03,3.993000679002075004e-01,6.006999320996623259e-01,1.551187249774156118e+00,1.077538183769052305e+00,3.288967022344698177e-01,1.897455388182916480e-01
3.087000000000000000e+03,6.107754523307770134e-01,3.892245476692768880e-01,1.926032335508421678e+00,3.539840925924196746e+00,5.484382444497365450e-01,7.241846130374257617e-01
2.052800000000000000e+04,2.903497193626149442e-01,7.096502806373263805e-01,2.333630034538883624e+00,9.673400228424144487e+00,8.396428394106320026e-01,1.115262796118906774e+00
1.117200000000000000e+04,2.196418478657686524e-01,7.803581521343342375e-01,3.903735582223468281e+00,4.502178670683852246e+00,6.956532081574712256e-01,2.703467928832832823e-01
8.555000000000000000e+03,4.116176471246806856e-01,5.883823528754817955e-01,2.804824212374610770e+00,4.797299968249850721e+00,8.596339205988399179e-01,7.664097593428810251e-01
8.719000000000000000e+03,2.829272787168478076e-01,7.170727212830551034e-01,3.384928362622161568e+00,4.957486031413182559e+00,9.460670869470672040e-01,6.307450515465662377e-01
5.890000000000000000e+03,6.233862525403197630e-01,3.766137474597218149e-01,6.102863122915882954e+00,2.688079691485123046e+00,9.076107414075316182e-01,1.098071725801484044e+00
1.478400000000000000e+04,7.043339382167418394e-01,2.956660617831604609e-01,8.274664190785371076e+00,3.378420867374960057e+00,1.069236260029176933e+00,1.248200398174856618e+00
1.977500000000000000e+04,4.053673459038624194e-01,5.946326540961817120e-01,1.950414994692617920e+00,7.769695729125413841e+00,7.825010956670837015e-01,1.719086741575001964e+00
1.481600000000000000e+04,6.969574569933973951e-01,3.030425430065198378e-01,9.730741212257777661e+00,1.993256007004798436e+00,1.194900361375622611e+00,1.006041847699487013e+00
1.545900000000000000e+04,2.686624982150412344e-01,7.313375017851008186e-01,2.804967485700375907e+00,1.520209798789309508e+00,8.232436802384639485e-01,3.827410600153760001e-01
5.944000000000000000e+03,5.973796515628727599e-01,4.026203484372072317e-01,6.352520626775221224e+00,5.471526276542299172e+00,5.226922611936285490e-01,6.417243807550829793e-01
5.550000000000000000e+03,7.236718725247023309e-01,2.763281274752663053e-01,1.233841070105258009e+00,2.191481181597925598e+00,2.623538821249034592e-01,6.887765866473901655e-01
1.032000000000000000e+03,3.084769550032962493e-01,6.915230449968189363e-01,1.838016297743494842e+00,9.232516317042582799e+00,8.260693646734862394e-01,1.315175416040778922e+00
2.012500000000000000e+04,6.843938634150664724e-01,3.156061365850138523e-01,9.210076256416197538e+00,1.812306945515182122e+00,1.107168879006953599e+00,1.008261571695427516e+00
