# sn id, amp_1, amp_2, amp_3, mean_1, mean_2, mean_3, std_1, std_2, std_3
5.916000000000000000e+03,2.393604349991070301e-01,2.296899600403755626e-01,5.309496049603773526e-01,4.844959246288104815e+00,2.269173493945058517e+00,6.904386498749783385e+00,8.587904232208245503e-01,8.048657495774991233e-01,6.311595065192311393e-01
1.544300000000000000e+04,1.629322005443233079e-01,3.732115952961268524e-01,4.638562041596054897e-01,3.100430895930289754e+00,4.973403001904166842e+00,5.873356025916276479e+00,9.091237794483000290e-01,5.806110079153873338e-01,5.764385864374658164e-01
5.751000000000000000e+03,5.001473629550123867e-01,2.884864480138911169e-01,2.113661890309916913e-01,7.421872630919261304e+00,2.207036365818129120e+00,4.781567966626113275e+00,9.499006601291332119e-01,7.625780779291611022e-01,9.909472086231012611e-01
2.076400000000000000e+04,2.411575604883298696e-01,1.688487404915650913e-01,5.899936990199886599e-01,5.121490990990742453e+00,2.433001415820653435e+00,6.563264109392823009e+00,8.458740255860973667e-01,9.384057625535049407e-01,6.893125736899011757e-01
3.901000000000000000e+03,2.893548498119920542e-01,3.392240401231068070e-01,3.714211100648597275e-01,1.574612439612812498e+00,1.311384365907684035e+00,9.859198341955419664e-01,3.677435849418539959e-01,2.082788976479340581e-01,1.410748784052046345e-01
3.087000000000000000e+03,2.438458319595785961e-01,3.509110861179028928e-01,4.052430819224140945e-01,3.915881889090677692e+00,2.660792283300299044e+00,1.642454360510317235e+00,5.828856811000078242e-01,4.495713076380211115e-01,3.854591830031355304e-01
2.052800000000000000e+04,2.325242343531971900e-01,2.864372268808121347e-01,4.810385387659356637e-01,8.488150600547976765e+00,2.294668424299718179e+00,1.020982818862777108e+01,1.176081357142192418e+00,7.749892505841752266e-01,6.034157162766093929e-01
1.117200000000000000e+04,5.942103174686358402e-01,1.363367525546584913e-01,2.694529299766826869e-01,4.574274334919140372e+00,3.874487723634204350e+00,4.172971680788777782e+00,2.191038387547824817e-01,8.477177691694257611e-01,3.307633162185019682e-01
8.555000000000000000e+03,3.571043794240906788e-01,3.810364517016299746e-01,2.618591688743032719e-01,3.897523269350839481e+00,5.168047852860298441e+00,2.352885116997506909e+00,5.897115563309882624e-01,6.078592959114031968e-01,6.562426102449787635e-01
8.719000000000000000e+03,1.783103958133131217e-01,3.964070018950746621e-01,4.252826022915568438e-01,2.909363894301799647e+00,5.357214336628111084e+00,4.397451149492847655e+00,7.768147348400513685e-01,4.594003184120620253e-01,4.902411073966154720e-01
5.890000000000000000e+03,2.744312521397550553e-01,4.620571702006930348e-01,2.635115776593179859e-01,4.573030115116727856e+00,6.481667896700023412e+00,2.151424373771527954e+00,8.118652993477316615e-01,6.541346957345891555e-01,7.733890880679906710e-01
1.478400000000000000e+04,5.185249810754775091e-01,2.323823485829829838e-01,2.490926703412740528e-01,8.740116705074731485e+00,2.870464372631569727e+00,6.535708602171506065e+00,7.071038950157398917e-01,8.155879357368669424e-01,1.074735334741298898e+00
1.977500000000000000e+04,2.572513408279338831e-01,3.820762364657919741e-01,3.606724227061003374e-01,5.719724716112700058e+00,8.616213598961913078e+00,1.794681226303356025e+00,1.824945259328168090e+00,1.146637197856031687e+00,6.288277068341279197e-01
1.481600000000000000e+04,4.852925300205618298e-01,2.863920542251194856e-01,2.283154157542298668e-01,1.020064811243694081e+01,1.833055768240511529e+00,8.368611797678358499e+00,7.660358587068988312e-01,7.671369021959458800e-01,1.617348858849736226e+00
1.545900000000000000e+04,3.143597279639468445e-01,5.681502749440459077e-01,1.174899970920692954e-01,2.170001111142247918e+00,1.372744421741950438e+00,3.432546930946553498e+00,4.064313279393661493e-01,2.789317242022075205e-01,7.251809362024834726e-01
5.944000000000000000e+03,4.306713310355926305e-01,2.473130787885542969e-01,3.220155901758518513e-01,5.978353896940255652e+00,5.175551001489552938e+00,6.655352588800662161e+00,3.934624259388685985e-01,5.677582490520546310e-01,4.412376239922157217e-01
5.550000000000000000e+03,3.007436939773618922e-01,5.992747802174093197e-01,9.998152580515064225e-02,1.776059208766108455e+00,1.147160909758727865e+00,2.769119169197719277e+00,3.360079090780156430e-01,1.949169753852228737e-01,7.001295603448415283e-01
1.032000000000000000e+03,2.491634763088164117e-01,2.981970699749037501e-01,4.526394537162271581e-01,7.919248081170000120e+00,1.756034658988339547e+00,9.841501130766014072e+00,1.530556702085848375e+00,7.060394936404710275e-01,7.797804958757259541e-01
2.012500000000000000e+04,2.929602923050137475e-01,4.841131267718262743e-01,2.229265809231501250e-01,1.609266954378209435e+00,9.629021913017092871e+00,7.815611912340425071e+00,7.027387389154479136e-01,7.142312099552233784e-01,1.636298757494647260e+00
1.977200000000000000e+04,3.517620478404255846e-01,4.151298130456612667e-01,2.331081391139346315e-01,8.461047505969240490e+00,7.009959603719672749e+00,5.679656044014524063e+00,6.551354453576065939e-01,6.530960915224112151e-01,9.229389287625802130e-01
1.618500000000000000e+04,3.821480576829054954e-01,2.944831774560799920e-01,3.233687648609533394e-01,7.141679546613719509e+00,8.807583179386435646e+00,5.619391784114982080e+00,7.369114331750313829e-01,8.353411238305411546e-01,8.608812474633235068e-01
7.876000000000000000e+03,2.808961831958700639e-01,1.080215196815308282e-01,6.110822971226357314e-01,1.685123277478469905e+00,2.655470253422353988e+00,1.064967841583279062e+00,3.449152808271169213e-01,6.692333937514642894e-01,2.360147246499125218e-01
6.422000000000000000e+03,2.074115937018467803e-01,3.784801171344515103e-01,4.141082891636735375e-01,4.568790271443839757e+00,3.627562893295924074e+00,2.232186395466826401e+00,1.210199631867258763e+00,6.800178406611573356e-01,5.202602719773621320e-01
1.620600000000000000e+04,4.471717219349344297e-01,2.480261033578111673e-01,3.048021747071614218e-01,9.134274391649251257e+00,1.581569827382934834e+00,7.195166233599681327e+00,9.044532313917154065e-01,6.622450359926823626e-01,1.588016123580465067e+00
1.313500000000000000e+04,3.458657879235748633e-01,6.142885642557711218e-02,5.927053556506899357e-01,8.603111187159163009e+00,3.912491961608187463e+00,9.926605178583793432e+00,8.652215817672913589e-01,6.320460601364020770e-01,5.780189028760979175e-01
1.837500000000000000e+04,2.298044457595198042e-01,2.846855856602293344e-01,4.855099685800884357e-01,5.500909895754950263e+00,2.383584632051324537e+00,7.864472198741783160e+00,1.175373526581189321e+00,8.705518188046058592e-01,1.027623535085178563e+00
1.861200000000000000e+04,2.974497667248919841e-01,5.479292839382174929e-01,1.546209493368752019e-01,5.867609870099143698e+00,7.439463241441330865e+00,2.881241069560104062e+00,8.963000137492507235e-01,3.759215565680048554e-01,1.060790634715902847e+00
1.880400000000000000e+04,4.240224783992643798e-01,3.717872589322454013e-01,2.041902626685260513e-01,5.458358845985973318e+00,4.383757585402286772e+00,2.766557774386611879e+00,5.994951174807260363e-01,6.040336986838553690e-01,7.885394141977648541e-01
2.004800000000000000e+04,4.898156631173061770e-01,2.701061908341150786e-01,2.400781460484707752e-01,9.004170655920091804e+00,1.537754465738464305e+00,7.149813447306740954e+00,8.426722040195351315e-01,6.677008679232920851e-01,1.720192064254710163e+00
1.437700000000000000e+04,5.240756204162613230e-01,1.866583685489108524e-01,2.892660110348995173e-01,5.995920879152519589e+00,4.765425415697136735e+00,6.223044629537799466e+00,5.147665056186846444e-01,8.516032435908893472e-01,9.167034508212837940e-01
1.513600000000000000e+04,3.921775443448965448e-01,5.723270780202638353e-01,3.549537763485365732e-02,4.317061886812185278e+00,5.151093882720322092e+00,7.188509082101452563e+00,5.597845252669942928e-01,3.829242821414368114e-01,4.245283214766646940e-01
1.720600000000000000e+04,5.604336832582893502e-01,2.546491242239125041e-01,1.849171925174286635e-01,2.052415072057926171e+00,8.694634696424618170e+00,6.014179233446719230e+00,5.361941853943406056e-01,1.022246331745011227e+00,1.564497098910268003e+00
