# sn id, amp_1, mean_1, std_1
1.794000000000000000e+03,1.000000000000000000e+00,3.924506278472701393e+00,1.362507384789571674e+00
6.057000000000000000e+03,1.000000000000000000e+00,6.086349788546248973e+00,1.359070267625898332e+00
1.530100000000000000e+04,1.000000000000000000e+00,4.401615226793649249e+00,2.199757901372363822e+00
1.523400000000000000e+04,1.000000000000000000e+00,5.147552610545068852e+00,1.618236744206763333e+00
1.716800000000000000e+04,1.000000000000000000e+00,3.655832188752878853e+00,1.049589122610748770e+00
2.008400000000000000e+04,1.000000000000000000e+00,3.442501685685134927e+00,2.421324483178104892e+00
3.317000000000000000e+03,1.000000000000000000e+00,5.175795384133838439e+00,2.089195318883244390e+00
1.977200000000000000e+04,1.000000000000000000e+00,6.798583088027966959e+00,3.525299273855031501e+00
1.335400000000000000e+04,1.000000000000000000e+00,5.649201566379136175e+00,2.534203124985692224e+00
1.865000000000000000e+04,1.000000000000000000e+00,1.915947087593034892e+00,7.785729586701232163e-01
1.542500000000000000e+04,1.000000000000000000e+00,7.253830729217500384e+00,3.270327085611602236e+00
3.674000000000000000e+03,1.000000000000000000e+00,2.349520581685951903e+00,9.355686562896108338e-01
1.883500000000000000e+04,1.000000000000000000e+00,6.158546739583459662e+00,3.241069566810916402e+00
6.422000000000000000e+03,1.000000000000000000e+00,3.199720392013338355e+00,1.019348338370939411e+00
1.513600000000000000e+04,1.000000000000000000e+00,4.085721289312867377e+00,1.397633549154680743e+00
1.080500000000000000e+04,1.000000000000000000e+00,4.014216637317589154e+00,1.650682024163209860e+00
5.550000000000000000e+03,1.000000000000000000e+00,2.230336725711287826e+00,9.876032310238774814e-01
1.996900000000000000e+04,1.000000000000000000e+00,4.351297027352752700e+00,1.053760920298543624e+00
1.442100000000000000e+04,1.000000000000000000e+00,5.375220480286611036e+00,8.356712907913393940e-01
6.936000000000000000e+03,1.000000000000000000e+00,3.876817471794000713e+00,2.164171654340854456e+00
4.019000000000000000e+03,1.000000000000000000e+00,3.231457486602254736e+00,1.318023123915368577e+00
1.606900000000000000e+04,1.000000000000000000e+00,3.973165593952999508e+00,1.335691650575777878e+00
1.295000000000000000e+04,1.000000000000000000e+00,2.182385811918344576e+00,5.037044955929251833e-01
2.062500000000000000e+04,1.000000000000000000e+00,3.473267677048051283e+00,2.235318872793814471e+00
1.718600000000000000e+04,1.000000000000000000e+00,4.547337288355893570e+00,9.326252135980457325e-01
1.481600000000000000e+04,1.000000000000000000e+00,7.529982661534902810e+00,3.022841027526107727e+00
1.837500000000000000e+04,1.000000000000000000e+00,4.623546577681278080e+00,2.079669964687876238e+00
8.213000000000000000e+03,1.000000000000000000e+00,6.734057369918319935e+00,3.136652903338409626e+00
1.443700000000000000e+04,1.000000000000000000e+00,6.012842874553752104e+00,2.525599027070251967e+00
1.289800000000000000e+04,1.000000000000000000e+00,6.603153693999643359e+00,7.158923199916790159e-01
1.544300000000000000e+04,1.000000000000000000e+00,5.583112229851373343e+00,8.994232586085394443e-01
1.602100000000000000e+04,1.000000000000000000e+00,2.823935430603188745e+00,1.197079333400461909e+00
1.915500000000000000e+04,1.000000000000000000e+00,3.415503945169735545e+00,1.961674821493749388e+00
5.944000000000000000e+03,1.000000000000000000e+00,5.555871670596046918e+00,1.847051249686509022e+00
1.313500000000000000e+04,1.000000000000000000e+00,5.226486096959212624e+00,2.267962969495494363e+00
5.751000000000000000e+03,1.000000000000000000e+00,6.319243653929942361e+00,1.472346096592749731e+00
5.103000000000000000e+03,1.000000000000000000e+00,2.549718914177477203e+00,9.393321478552297821e-01
1.371000000000000000e+03,1.000000000000000000e+00,7.180804161662965868e+00,3.654633470467997025e+00
2.006400000000000000e+04,1.000000000000000000e+00,6.117094813511917195e+00,3.459692309012113220e+00
1.286000000000000000e+04,1.000000000000000000e+00,5.650207681387846570e+00,1.673968225839892687e+00
3.901000000000000000e+03,1.000000000000000000e+00,3.236057735890449205e+00,6.984464601597946132e-01
1.620600000000000000e+04,1.000000000000000000e+00,6.345955193673671779e+00,2.791461192734473240e+00
7.620000000000000000e+02,1.000000000000000000e+00,4.945825615719812163e+00,2.385455872161204471e+00
2.054500000000000000e+04,1.000000000000000000e+00,4.827398427958508265e+00,1.204342752333773525e+00
1.002800000000000000e+04,1.000000000000000000e+00,6.289693604622412337e+00,7.366477438479539508e-01
1.977500000000000000e+04,1.000000000000000000e+00,4.210361049526119004e+00,3.031724304859084729e+00
2.004800000000000000e+04,1.000000000000000000e+00,6.818387969014850114e+00,3.393799872352602165e+00
1.564800000000000000e+04,1.000000000000000000e+00,4.593733768476290003e+00,1.995296800099614298e+00
1.611600000000000000e+04,1.000000000000000000e+00,3.252430762550144738e+00,1.050382000090569479e+00
5.916000000000000000e+03,1.000000000000000000e+00,6.838266258680463672e+00,3.393092316099092898e+00
1.536500000000000000e+04,1.000000000000000000e+00,5.648057901238252576e+00,1.770033889625492129e+00
6.406000000000000000e+03,1.000000000000000000e+00,5.722898040592856894e+00,1.861134405100564937e+00
1.546100000000000000e+04,1.000000000000000000e+00,2.995153529652048174e+00,1.095412165366936419e+00
1.032000000000000000e+03,1.000000000000000000e+00,5.585774218018256576e+00,2.362407352576402886e+00
1.860400000000000000e+04,1.000000000000000000e+00,7.103593850722741188e+00,2.850420640871961453e+00
2.057500000000000000e+04,1.000000000000000000e+00,7.023638182837571797e+00,2.942909825570708016e+00
2.440000000000000000e+03,1.000000000000000000e+00,3.535762515447304466e+00,1.271629018099007968e+00
2.150200000000000000e+04,1.000000000000000000e+00,6.144891210598744991e+00,3.092230806646140362e+00
6.530000000000000000e+03,1.000000000000000000e+00,7.362497544307674779e+00,2.516797303872511993e+00
1.995300000000000000e+04,1.000000000000000000e+00,3.147666923584663934e+00,1.088394684480176178e+00
1.607300000000000000e+04,1.000000000000000000e+00,6.002869148595293858e+00,1.461064383564258273e+00
1.373600000000000000e+04,1.000000000000000000e+00,2.728890468578854200e+00,1.187573884051073891e+00
8.555000000000000000e+03,1.000000000000000000e+00,4.356931248591140893e+00,7.185669491226089889e-01
1.427900000000000000e+04,1.000000000000000000e+00,6.206901157061722074e+00,3.091132288912374904e+00
2.052800000000000000e+04,1.000000000000000000e+00,7.064040667783562988e+00,3.380515950682692061e+00
1.935300000000000000e+04,1.000000000000000000e+00,4.154184126530773291e+00,2.420431071516849109e+00
6.962000000000000000e+03,1.000000000000000000e+00,7.016970726130642433e+00,1.022233143214176243e+00
1.542100000000000000e+04,1.000000000000000000e+00,3.140150990047260837e+00,1.566509342301735330e+00
3.087000000000000000e+03,1.000000000000000000e+00,2.127433608295989487e+00,8.350573985789990772e-01
2.207500000000000000e+04,1.000000000000000000e+00,5.881973102644738383e+00,2.438936503865343663e+00
8.921000000000000000e+03,1.000000000000000000e+00,5.163247390057655650e+00,1.968855084641470743e+00
1.996800000000000000e+04,1.000000000000000000e+00,8.032049975909785644e+00,3.751816491154904565e+00
2.103400000000000000e+04,1.000000000000000000e+00,3.352249645151022417e+00,1.093865795738453661e+00
1.545900000000000000e+04,1.000000000000000000e+00,1.788267819419040894e+00,6.645879050747162120e-01
7.147000000000000000e+03,1.000000000000000000e+00,7.651170614281072702e+00,3.741287068657947579e+00
2.076400000000000000e+04,1.000000000000000000e+00,8.762143436439359334e+00,2.447747317826065139e+00
1.478400000000000000e+04,1.000000000000000000e+00,3.629169021064022171e+00,1.141008675445745579e+00
7.876000000000000000e+03,1.000000000000000000e+00,3.318321088092280657e+00,9.007912953489342067e-01
1.880400000000000000e+04,1.000000000000000000e+00,2.836648805725818345e+00,1.064313389083161088e+00
1.437700000000000000e+04,1.000000000000000000e+00,4.835265773255692068e+00,2.140363333114366551e+00
1.721800000000000000e+04,1.000000000000000000e+00,4.556427856764488915e+00,7.013059864457319437e-01
