# sn id, amp_1, amp_2, mean_1, mean_2, std_1, std_2
1.794000000000000000e+03,4.160852788855090023e-01,5.839147211144368743e-01,2.734170864129114698e+00,4.772714115910531518e+00,8.655643022157483157e-01,9.572371654669183938e-01
6.057000000000000000e+03,2.698649312798696021e-01,7.301350687202078360e-01,4.549557355043365448e+00,6.654363026405494708e+00,1.343520438490917845e+00,8.167296285805644152e-01
1.530100000000000000e+04,7.297934374135233160e-01,2.702065625868532717e-01,5.365918995443316852e+00,1.797153827714537355e+00,1.740216254607295454e+00,6.590714387052437617e-01
1.523400000000000000e+04,3.224442659048660231e-01,6.775557340952423901e-01,3.646924434928431769e+00,5.861691575258371145e+00,1.334920377732502716e+00,1.198001677810771159e+00
1.716800000000000000e+04,3.864579919596858870e-01,6.135420080404782039e-01,2.668656569699212611e+00,4.277634612141753223e+00,7.603322120746393020e-01,6.564552580826836792e-01
2.008400000000000000e+04,2.870110442530208195e-01,7.129889557470425743e-01,6.639354950001838951e+00,2.155620330343414270e+00,2.290722901287945312e+00,5.835281327976166166e-01
3.317000000000000000e+03,3.577703039189689127e-01,6.422296960809114053e-01,2.992635660754171312e+00,6.391979753222037708e+00,1.182493237638459371e+00,1.372239847612214403e+00
1.977200000000000000e+04,6.811477582914591267e-01,3.188522417085695726e-01,9.097024423822444916e+00,1.888540257365960429e+00,1.076168473192628428e+00,1.052821032511968236e+00
1.335400000000000000e+04,2.186030714679727260e-01,7.813969285324300351e-01,1.911626048076725981e+00,6.694823142697130081e+00,7.787781465557802596e-01,1.745784889341221113e+00
1.865000000000000000e+04,7.128328297301659289e-01,2.871671702698640471e-01,1.567203186171830076e+00,2.781631357377678526e+00,3.580744200327478088e-01,8.609862378487633805e-01
1.542500000000000000e+04,2.521945285494574529e-01,7.478054714507194056e-01,1.945726870903690342e+00,9.043968406922184400e+00,8.520508250249889670e-01,1.161995294719084582e+00
3.674000000000000000e+03,5.344088953994738933e-01,4.655911046004785336e-01,1.656048679987417449e+00,3.145492732604529440e+00,5.132094309581161085e-01,6.261641518663786377e-01
1.883500000000000000e+04,6.665616237258729093e-01,3.334383762744552726e-01,8.220534700464042999e+00,2.036519579222831222e+00,1.592352959423357417e+00,9.717048253353678389e-01
6.422000000000000000e+03,4.670784425820524999e-01,5.329215574179344550e-01,3.949943532139716496e+00,2.542188244924076468e+00,8.317760871667414513e-01,6.463333875426630071e-01
1.513600000000000000e+04,5.920359862829051023e-01,4.079640137171136605e-01,4.962096248003788013e+00,2.813928936122497060e+00,8.575656517364115272e-01,9.944129828029856233e-01
1.080500000000000000e+04,5.062527335165797338e-01,4.937472664834170466e-01,2.755690976573529127e+00,5.304617818655022354e+00,1.000457299201460426e+00,1.096863724082952407e+00
5.550000000000000000e+03,3.190874245017589206e-01,6.809125754982385814e-01,3.332083305873618784e+00,1.714039198880625170e+00,8.974351093158009496e-01,4.686352828877152210e-01
1.996900000000000000e+04,6.630234740194190790e-01,3.369765259805281854e-01,4.895999383243626824e+00,3.279559323196103993e+00,6.415279920539891378e-01,8.677864639427192994e-01
1.442100000000000000e+04,4.466959557588591201e-01,5.533040442411195636e-01,5.734306138253190355e+00,5.085321801876385273e+00,9.097008880524957153e-01,6.370973567577501440e-01
6.936000000000000000e+03,5.868511107756100298e-01,4.131488892242806132e-01,2.501333381978405601e+00,5.830603109408689200e+00,6.633585214111902273e-01,2.051026398877601409e+00
4.019000000000000000e+03,5.017298798462397347e-01,4.982701201537649838e-01,2.336813844901945547e+00,4.132313124337375854e+00,7.918864049733741473e-01,1.112433465883249539e+00
1.606900000000000000e+04,5.361692671648513597e-01,4.638307328351397030e-01,3.305516261939646316e+00,4.744940786339608252e+00,9.202005145455514068e-01,1.325384482853990686e+00
1.295000000000000000e+04,3.750886881517377924e-01,6.249113118484302953e-01,2.561331397997653081e+00,1.954932411621743915e+00,4.910488508867652535e-01,3.512080766952103139e-01
2.062500000000000000e+04,6.357253691838220533e-01,3.642746308162063684e-01,2.174608514787628177e+00,5.739663702272241430e+00,6.433814188903558273e-01,2.216863994659874493e+00
1.718600000000000000e+04,7.250903346951321771e-01,2.749096653048513361e-01,4.947763216677154574e+00,3.491190462579284670e+00,6.037238161745871468e-01,8.149925117922085516e-01
1.481600000000000000e+04,8.041079262231087821e-01,1.958920737772173182e-01,8.851542269538827057e+00,2.105176362413494484e+00,1.506220205256346922e+00,8.576286700493277460e-01
1.837500000000000000e+04,5.302317043533563146e-01,4.697682956466454618e-01,6.265021552035760166e+00,2.770798996860857510e+00,1.118371884731593324e+00,1.149379259493169547e+00
8.213000000000000000e+03,7.457149112051931761e-01,2.542850887949917871e-01,8.413905498368459135e+00,1.807744923196065390e+00,1.381185689753694934e+00,7.434655810781765073e-01
1.443700000000000000e+04,1.840492477683864925e-01,8.159507522320968986e-01,1.789322764476297900e+00,6.965517649428282887e+00,7.506448956477583812e-01,1.661058987221758487e+00
1.289800000000000000e+04,7.822393544180686886e-01,2.177606455819031672e-01,6.780790721718462422e+00,5.965046319216547488e+00,4.083441087387716384e-01,1.110853972026496717e+00
1.544300000000000000e+04,7.283244413130929296e-01,2.716755586867962147e-01,5.726494302048670271e+00,5.198724807841108131e+00,5.920511480029875262e-01,1.354659320935847733e+00
1.602100000000000000e+04,6.705384700850134383e-01,3.294615299151803511e-01,2.222935666174406411e+00,4.047123651287862778e+00,5.791936380577517030e-01,1.198096555792955931e+00
1.915500000000000000e+04,6.097905958234776103e-01,3.902094041765842847e-01,2.294492335878794087e+00,5.167338549455737784e+00,7.337951945932870146e-01,1.996895748684870853e+00
5.944000000000000000e+03,3.089952711567969246e-01,6.910047288431565571e-01,3.368479494686946296e+00,6.534003672171482258e+00,1.367323060739131568e+00,1.002418395497511439e+00
1.313500000000000000e+04,5.912895502257258240e-01,4.087104497742999887e-01,6.564107080048244391e+00,3.291323171959235516e+00,1.679727947942261101e+00,1.473029405025600980e+00
5.751000000000000000e+03,7.941793364916861497e-01,2.058206635082814040e-01,6.919340763482517254e+00,4.003709750913110987e+00,7.770387286149572637e-01,1.204766486457419905e+00
5.103000000000000000e+03,5.140304856388431265e-01,4.859695143611569845e-01,3.232843514917732808e+00,1.827149164649099600e+00,6.798514899217275032e-01,5.577093571185225418e-01
1.371000000000000000e+03,7.013497741098376759e-01,2.986502258901951312e-01,9.445092868252640272e+00,1.863351719921123140e+00,1.230663286430958347e+00,9.220068088271334839e-01
2.006400000000000000e+04,6.274868333021679234e-01,3.725131666977902212e-01,8.569666044487490808e+00,1.985814921273513223e+00,1.601296509877789598e+00,7.827569752215651766e-01
1.286000000000000000e+04,6.118907154541954885e-01,3.881092845458504192e-01,4.910836599578358275e+00,6.815895590049473540e+00,1.298786882849723323e+00,1.529665195246817655e+00
3.901000000000000000e+03,6.361134549913061154e-01,3.638865450085443931e-01,2.994539365393054986e+00,3.658258246486085774e+00,4.891865522200278260e-01,8.012815235245862588e-01
1.620600000000000000e+04,7.743392083833881001e-01,2.256607916169985073e-01,7.658796634316257901e+00,1.841031699441298741e+00,1.481724716236234141e+00,8.879846447460705283e-01
7.620000000000000000e+02,7.193493257780751993e-01,2.806506742220479800e-01,6.079535552017451216e+00,2.039958809716371224e+00,1.776565028707883576e+00,6.689547809002162060e-01
2.054500000000000000e+04,7.089264007188392780e-01,2.910735992812353845e-01,5.379542090347637640e+00,3.482620955098711057e+00,6.888327478336166987e-01,1.129818092737720381e+00
1.002800000000000000e+04,4.100631660505852927e-01,5.899368339493319402e-01,5.773388509348445830e+00,6.648575589663567875e+00,6.741158242487428343e-01,5.384058826520362606e-01
1.977500000000000000e+04,7.025750846619789325e-01,2.974249153379751043e-01,2.333394183900572738e+00,8.644119240316113562e+00,5.045875321948580794e-01,1.523626487381350758e+00
2.004800000000000000e+04,7.085111172974035698e-01,2.914888827024942342e-01,8.886455136525945875e+00,1.791614508860354560e+00,1.131800175398295361e+00,8.580123040978743232e-01
1.564800000000000000e+04,5.377016665298257614e-01,4.622983334701522562e-01,5.866130491050334683e+00,3.113802328794404772e+00,1.566083378391541547e+00,1.298409057173496972e+00
1.611600000000000000e+04,4.741032840718146790e-01,5.258967159282371684e-01,2.447387019302614153e+00,3.978189016851708892e+00,6.951104069530601448e-01,7.425365630880612633e-01
5.916000000000000000e+03,6.974237023819702674e-01,3.025762976179985908e-01,8.961500145231839909e+00,1.944315047568345278e+00,1.155528042279026391e+00,7.941786998298216993e-01
1.536500000000000000e+04,5.697453834063601619e-01,4.302546165935449141e-01,6.780562288257891090e+00,4.148389748226999352e+00,4.735318720794576275e-01,1.742832781464489722e+00
6.406000000000000000e+03,7.124673537712208349e-01,2.875326462287656759e-01,6.717181368654913776e+00,3.259197236756083083e+00,8.528618870078727987e-01,1.313367429463643488e+00
1.546100000000000000e+04,5.144876444606849564e-01,4.855123555393303092e-01,3.809842143606888332e+00,2.131844447647263774e+00,7.390020902758149823e-01,6.664231172265059344e-01
1.032000000000000000e+03,6.132644424676831907e-01,3.867355575323107586e-01,6.957019400224821126e+00,3.411327375017374042e+00,1.619097449799292265e+00,1.601265996603061792e+00
1.860400000000000000e+04,1.896981308268287092e-01,8.103018691733411272e-01,1.888690811936768466e+00,8.324444248005770319e+00,7.308489957554932248e-01,1.429986917977219330e+00
2.057500000000000000e+04,7.810899101532321476e-01,2.189100898468946399e-01,8.467266894954612155e+00,1.872647555444852729e+00,1.190127627743274630e+00,7.350027311868295721e-01
2.440000000000000000e+03,5.371668807473717333e-01,4.628331192526978777e-01,4.466528079351912872e+00,2.455510446457037865e+00,7.699402415830627344e-01,7.958420818913142236e-01
2.150200000000000000e+04,2.530859861870028982e-01,7.469140138133032458e-01,1.709615600404164049e+00,7.647749747265412346e+00,6.735353766084700711e-01,1.929759654199080021e+00
6.530000000000000000e+03,8.570640748282360999e-01,1.429359251722761570e-01,8.246713376654126293e+00,2.060614036792391968e+00,1.347480463521020466e+00,7.938812659626152124e-01
1.995300000000000000e+04,4.361422514596176581e-01,5.638577485403659662e-01,4.069512759253765211e+00,2.434621976861581771e+00,8.057059328535863818e-01,6.580382315385586711e-01
1.607300000000000000e+04,4.669012884579360478e-01,5.330987115420992017e-01,5.131472715445331012e+00,6.766060108517579330e+00,1.242689872908233850e+00,1.185040579137788708e+00
