# sn id, amp_1, amp_2, amp_3, mean_1, mean_2, mean_3, std_1, std_2, std_3
1.794000000000000000e+03,3.922340574916940992e-01,3.074558350871166024e-01,3.003101074212501942e-01,4.122671947466800546e+00,2.380458394806125533e+00,5.246470465728410915e+00,7.031239284967396586e-01,6.662790468492458817e-01,9.174985416136881566e-01
6.057000000000000000e+03,4.910056816360267029e-01,3.557095098643484610e-01,1.532848084997435467e-01,6.997020311832003792e+00,5.811321415203208218e+00,3.807492564724039408e+00,6.824659929167120609e-01,7.492984071528097090e-01,1.109006719874819469e+00
1.530100000000000000e+04,2.579627063147630905e-01,3.297689118876190872e-01,4.122683817975183462e-01,6.922688221946521558e+00,1.924190109068741661e+00,4.805805749439064023e+00,1.345740094728970382e+00,7.407462496138997876e-01,1.056187990407150945e+00
1.523400000000000000e+04,4.897633943872153894e-01,2.308002330091368515e-01,2.794363726036337980e-01,5.399528500334568548e+00,3.043750410162091136e+00,6.443552367456715224e+00,8.700497979726188325e-01,1.031793383626119276e+00,1.311004909535267382e+00
1.716800000000000000e+04,3.972399734280552264e-01,2.404403235708227060e-01,3.623197030011296449e-01,4.570220113242086768e+00,2.262673209493951898e+00,3.577835218578809595e+00,5.500176358206189109e-01,5.851684822794608332e-01,5.204082154891968015e-01
2.008400000000000000e+04,7.106881618385111343e-01,1.371179761555130217e-01,1.521938620059168357e-01,2.138581591239870239e+00,8.629324316057932265e+00,4.858287779233741333e+00,5.689245689769283354e-01,1.168305017367490262e+00,1.264463139598111852e+00
3.317000000000000000e+03,4.062187924780936155e-01,3.077476044582813652e-01,2.860336030636410620e-01,5.403305533113780257e+00,7.300570957426880447e+00,2.566614215578820524e+00,9.611654872770212243e-01,1.156364871380226811e+00,8.775441470392592036e-01
1.977200000000000000e+04,5.602890939426097283e-01,2.800442871786639754e-01,1.596666188786740881e-01,9.372179182571274580e+00,1.583970613027543051e+00,6.913601553489624685e+00,7.881880857464389489e-01,6.306457396499061119e-01,2.002303196139586294e+00
1.335400000000000000e+04,4.446653988487544451e-01,2.421269159723806741e-01,3.132076851788634375e-01,5.867425499130708211e+00,2.032719497272330589e+00,8.135127215113513444e+00,1.208290349809770126e+00,8.646889255029965859e-01,1.222962818652146622e+00
1.865000000000000000e+04,5.640988427096875757e-01,3.297112856498709554e-01,1.061898716403682358e-01,1.426320872428540332e+00,2.246980883996525957e+00,3.489091495326386294e+00,2.488916742692235395e-01,4.168763249708525298e-01,8.667245432894583601e-01
1.542500000000000000e+04,4.970855988327116393e-01,2.441930256350018091e-01,2.587213755322108066e-01,9.544689174750736527e+00,1.862754925382708260e+00,7.940710077172897563e+00,7.389600597458685360e-01,7.267278298390054125e-01,1.343073859162046801e+00
3.674000000000000000e+03,3.342777901595100909e-01,3.608952689875459252e-01,3.048269408528495594e-01,2.395976934004419689e+00,1.402038350602559102e+00,3.420333177655511037e+00,4.367124149592488402e-01,3.674810961988285718e-01,5.390283603187931982e-01
1.883500000000000000e+04,4.065371973215671786e-01,2.895293975332256520e-01,3.039334051448888685e-01,8.962854185000889373e+00,1.785933640534758560e+00,6.572929445779199575e+00,1.119195804469788946e+00,7.237696805646337550e-01,1.866326156120089008e+00
6.422000000000000000e+03,3.144828519205133399e-01,3.100950724841479156e-01,3.754220755953058264e-01,2.161151952870147941e+00,4.204136090387780023e+00,3.240068594342143449e+00,4.675713812853964368e-01,8.160537309736258793e-01,5.441256730893889726e-01
1.513600000000000000e+04,4.000852082351825101e-01,2.354186268180438746e-01,3.644961649468148601e-01,5.349878108028336854e+00,2.212203628865117899e+00,3.908189958838189870e+00,6.862261949933708971e-01,7.480779106711801241e-01,6.542816425729486296e-01
1.080500000000000000e+04,3.734218123477792695e-01,3.084508807916148676e-01,3.181273068605837140e-01,4.032899092403327224e+00,5.881261965912362832e+00,2.182031220504307090e+00,7.258583470572824714e-01,8.672295455709243539e-01,6.929432921705293014e-01
5.550000000000000000e+03,5.428543375126348991e-01,3.030630698200046380e-01,1.540825926672482193e-01,1.546868156838408614e+00,2.567043810217541910e+00,3.976026422708155206e+00,3.485513934747473952e-01,4.761035692971267719e-01,7.348923433676080030e-01
1.996900000000000000e+04,4.366899630494789908e-01,2.036528498222620887e-01,3.596571871282082111e-01,5.190728093217912509e+00,2.817714676033544308e+00,4.200451425503457514e+00,5.150422540515657843e-01,7.039007215632000491e-01,5.241395815105568401e-01
1.442100000000000000e+04,4.485967083492825580e-01,1.836750755103860600e-01,3.677282161403904737e-01,5.602367006247750858e+00,6.089809532121299718e+00,4.741194121468386591e+00,5.327655420358698990e-01,1.032654718791228277e+00,5.479019274518851512e-01
6.936000000000000000e+03,6.004261062236528890e-01,1.136942525805432341e-01,2.858796411956574524e-01,2.461695190950619949e+00,8.525605810283483521e+00,5.000142812573196593e+00,6.309550904901491952e-01,9.564589271057827302e-01,1.058636775366825544e+00
4.019000000000000000e+03,4.040645651396914673e-01,3.719392436343262331e-01,2.239961912259284260e-01,3.557931641236177889e+00,1.988667662803793368e+00,4.706150729959611034e+00,7.061021057442932181e-01,5.907149719564019907e-01,1.159739460223259133e+00
1.606900000000000000e+04,4.659294226922800486e-01,3.906481348334312487e-01,1.434224424744218462e-01,4.380923432917641414e+00,2.793892117562542854e+00,5.860559260053401331e+00,6.942307549069648420e-01,6.692144753504278842e-01,1.327951273792508768e+00
1.295000000000000000e+04,3.792356780058446231e-01,1.984577846676287283e-01,4.223065373265633693e-01,1.762347931194340633e+00,2.840413999255634980e+00,2.250351925723538482e+00,2.875011031056936006e-01,4.302901905698854890e-01,2.702137523686029552e-01
2.062500000000000000e+04,6.128624395081396781e-01,1.361417370287299200e-01,2.509958234631526897e-01,2.095594151413298079e+00,8.022674727613278378e+00,4.369538285648513209e+00,5.777586757825237118e-01,1.438200384007911614e+00,1.142989560859677178e+00
1.718600000000000000e+04,4.198480222664841000e-01,1.937742994723549994e-01,3.863776782611668681e-01,5.204814242964156179e+00,3.158926589093109527e+00,4.529214894536369052e+00,5.566355795463819867e-01,6.745791642205348770e-01,4.994230360292823412e-01
1.481600000000000000e+04,3.382581738985941944e-01,1.910322661296475766e-01,4.707095599716325518e-01,7.550361242000472650e+00,2.049267967450992600e+00,9.739625751574434886e+00,1.343935017200464710e+00,7.895745955825820284e-01,8.876250489359767126e-01
1.837500000000000000e+04,3.071025001370468188e-01,3.733497284646470349e-01,3.195477713982025625e-01,2.141912149935137677e+00,6.777837511732543341e+00,4.491523131265632074e+00,7.840577527019161330e-01,8.244929210774887274e-01,8.895712499800429995e-01
8.213000000000000000e+03,4.643965213097153710e-01,2.474701129943854827e-01,2.881333656958547929e-01,9.149759560051286655e+00,1.752242489749524124e+00,7.119318540302405296e+00,8.030515911821819452e-01,6.698603755165545293e-01,1.360628474964179047e+00
1.443700000000000000e+04,3.153821040402546849e-01,1.977996109601991570e-01,4.868182849993406003e-01,8.242846658576326035e+00,1.892204339253796608e+00,6.242409875654777451e+00,1.234239486488357462e+00,8.364225954454080902e-01,1.287707532524623888e+00
1.289800000000000000e+04,5.085486727400009288e-01,3.840539991245401352e-01,1.073973281354364401e-01,7.008356579179459978e+00,6.331441679707876524e+00,5.656078887618713580e+00,2.803238059598795462e-01,3.800950163192924891e-01,1.394580083151637062e+00
1.544300000000000000e+04,5.978032389995824314e-01,1.895735746325891147e-01,2.126231863678634537e-01,5.679864938516034023e+00,4.384518590667598303e+00,6.379745000639981178e+00,4.527007676061372554e-01,8.421391547735161964e-01,8.089076357323127242e-01
