GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
10028,0.0653288,2.95966e+10,-18.5093,-20.1727,-20.8998,-21.2323,-21.5235
1032,0.129755,2.85664e+10,-17.8557,-19.8769,-20.7167,-21.1229,-21.4391
10324,0.251779,1.16966e+09,-17.5798,-18.3854,-18.8051,-18.9006,-18.5231
10550,0.300844,2.05619e+10,-19.0398,-20.3637,-20.9287,-21.2193,-21.5563
10559,0.281057,3.17684e+10,-18.9873,-20.3194,-21.0753,-21.4671,-21.8421
10805,0.0453628,8.57947e+09,-18.3876,-19.5569,-20.0907,-20.3175,-20.5585
11172,0.136222,1.52205e+10,-19.4425,-20.4712,-20.8981,-21.0585,-21.2960
 1119,0.297815,3.53627e+10,-19.9220,-21.1384,-21.7637,-21.9516,-22.4189
11311,0.204532,3.74819e+10,-19.0860,-20.5888,-21.3090,-21.6613,-22.0396
11540,0.216529,3.00771e+10,-19.4962,-20.0050,-20.8022,-21.1304,-21.4254
11996,0.286636,1.28750e+11,-20.4872,-21.8702,-22.5970,-22.9411,-23.2616
12199,0.310442,2.05331e+11,-20.7671,-22.4454,-23.1590,-23.5665,-23.9706
12860,0.121708,1.97116e+10,-18.0555,-19.7939,-20.5321,-20.9300,-21.3721
12881,0.238126,3.27282e+09,-17.6533,-18.7057,-19.1985,-19.3670,-19.4903
12898,0.0835811,5.86585e+09,-17.7815,-18.8157,-19.4525,-19.7699,-20.0474
12950,0.0826570,5.77325e+09,-18.8693,-19.7839,-20.1503,-20.2617,-20.4678
12977,0.247815,5.10964e+09,-18.4272,-19.4458,-19.8475,-19.9256,-20.5217
13025,0.224380,5.05311e+10,-19.6471,-21.2585,-21.8729,-22.1667,-22.5153
13099,0.266025,7.25561e+10,-20.4350,-21.6002,-22.1523,-22.4805,-22.6967
13135,0.104671,7.21636e+10,-19.0170,-20.8848,-21.7341,-22.1503,-22.5004
13152,0.203530,2.19937e+09,-17.4470,-18.4933,-18.8936,-18.9954,-19.3495
13174,0.236181,5.57689e+10,-19.3124,-20.8836,-21.6606,-22.0277,-22.4107
13305,0.214684,1.06078e+10,-19.2393,-20.2886,-20.6973,-20.8208,-21.0598
13354,0.157625,2.17069e+10,-19.4276,-20.4889,-21.0576,-21.3459,-21.6273
13529,0.302448,2.34796e+09,-18.8225,-19.5590,-19.8632,-19.8841,-19.8251
1354,0.249474,4.27245e+10,-20.3401,-21.4761,-21.9599,-22.1568,-22.4065
13545,0.214018,1.07018e+11,-19.2601,-21.3801,-22.2578,-22.7019,-23.1359
13689,0.251803,3.18118e+10,-20.1486,-21.2954,-21.7371,-21.9177,-22.2077
1371,0.119015,4.65869e+10,-18.4726,-20.4084,-21.2481,-21.6372,-22.0151
13736,0.150225,3.97851e+09,-17.2246,-18.6435,-19.1720,-19.4067,-19.7041
13802,0.313563,7.68005e+10,-20.4370,-21.4638,-22.0511,-22.4383,-22.6635
13820,0.135747,4.75573e+08,-15.8567,-16.9245,-17.3934,-17.4113,-17.3367
13864,0.300833,6.68054e+10,-19.6208,-21.0484,-21.8518,-22.2323,-22.6166
13896,0.157334,3.51774e+08,-15.7374,-17.1626,-17.6198,-17.5762,-17.6423
13908,0.239799,9.45204e+10,-19.4200,-21.3220,-22.1104,-22.4701,-22.8213
14074,0.261912,6.14834e+09,-18.8179,-19.9032,-20.2902,-20.3559,-20.6500
14113,0.242411,1.43149e+10,-19.0195,-19.9502,-20.4996,-20.7643,-20.8732
1415,0.211872,2.09163e+11,-20.2278,-21.9626,-22.8540,-23.2786,-23.6506
14212,0.204490,1.53667e+10,-17.9723,-19.4143,-20.1881,-20.5472,-21.0150
14261,0.285869,4.98419e+08,-17.5141,-18.5884,-18.6072,-18.9413,-17.6925
14279,0.0453895,2.25195e+10,-18.3567,-19.9177,-20.6442,-20.9864,-21.2782
14284,0.181066,3.48637e+10,-18.7652,-20.5880,-21.2340,-21.5017,-21.8193
14331,0.221199,7.05993e+09,-17.9037,-19.4123,-19.8423,-20.1356,-20.4763
14340,0.277380,2.24803e+11,-15.8741,-22.0140,-22.9889,-23.3721,-23.6650
14375,0.323213,7.17934e+10,-19.9918,-21.4261,-22.0956,-22.3378,-22.3915
14377,0.139410,3.32488e+10,-18.7953,-20.4477,-21.1662,-21.5287,-21.9127
14403,0.289718,1.29880e+10,-17.9224,-19.6272,-20.2046,-20.5404,-20.1023
14421,0.174903,2.26720e+11,-20.5400,-22.2570,-23.0444,-23.4202,-23.7346
14437,0.149295,5.97436e+09,-16.0017,-18.4187,-19.2510,-19.6774,-20.0206
14445,0.237004,1.37444e+11,-19.3975,-21.5006,-22.4081,-22.8144,-23.1530
14480,0.330780,3.12373e+10,-18.2210,-20.1591,-20.9557,-21.2563,-21.5716
