GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
101,0.000804000,2.51063e+08,-13.8972,-15.3492,-16.0392,-16.3312,-16.6852
1015,0.00879700,2.34467e+10,-18.0259,-19.7722,-20.5149,-20.9166,-21.1727
1309,0.00713800,2.25230e+10,-18.7785,-20.1861,-20.8159,-21.1237,-21.3656
3021,0.00535000,9.05322e+09,-17.0098,-18.8160,-19.4895,-19.8476,-20.1197
3370,0.00427600,5.45988e+09,-16.8989,-18.3903,-19.0922,-19.4255,-19.6126
3447,0.00355600,1.16677e+08,-14.7691,-15.7699,-16.1093,-16.2524,-16.5382
3972,0.00279900,1.81510e+09,-15.7870,-17.1766,-17.8852,-18.2679,-18.4676
3982,0.00371000,7.03724e+09,-17.4100,-18.8193,-19.4720,-19.7757,-19.9527
4424,0.00162000,8.42592e+08,-15.2081,-16.6519,-17.2156,-17.5348,-17.6948
4536,0.00603000,2.67244e+08,-16.4938,-15.8564,-16.7187,-16.1979,-16.8613
4639,0.00364000,8.97784e+09,-16.8425,-18.5160,-19.4922,-19.9001,-20.1473
5584,0.00552500,5.79962e+09,-17.5083,-18.7975,-19.4050,-19.7561,-19.5589
7250,0.00390000,4.83225e+08,-17.0110,-17.7656,-18.2235,-18.0423,-18.3750
9391,0.00649000,4.98391e+08,-15.3947,-16.9746,-17.4320,-17.5419,-17.5711
