# sn id,Local age,UNCERT,Global age,Uncut,Stell mass,PC1
762,5.1,2.7,8.0,3.9,11.1,-0.29
1032,5.8,2.6,8.6,4.3,10.5,1.14
1371,8.9,4.3,8.1,1.3,10.7,3.34
1794,4.0,1.4,2.0,0.9,8.8,-1.73
2372,5.9,1.5,4.8,2.9,10.2,0.59
2440,3.6,1.4,4.2,0.7,10.3,-1.66
3087,1.9,0.8,2.4,1.1,9.7,-3.43
3317,5.4,2.3,4.4,1.7,10.0,0.22
3592,3.5,1.0,2.4,1.2,8.5,-1.89
3674,2.3,1.0,7.8,3.7,10.3,-2.81
3901,3.2,0.6,1.2,0.3,9.6,-2.35
4019,3.1,1.3,4.6,1.5,10.9,-2.07
5103,2.5,1.0,3.4,1.2,8.9,-2.78
5550,2.0,1.0,1.3,0.5,9.5,-3.72
5751,6.7,1.3,5.9,2.7,10.4,1.23
5890,3.5,1.5,5.3,2.2,10.5,-1.70
5916,8.4,4.0,6.0,2.3,10.7,3.22
5944,6.0,1.9,6.0,0.7,10.7,0.55
6057,6.3,1.3,4.8,1.0,10.0,1.11
6406,6.4,1.9,3.7,1.7,10.3,1.04
6422,3.1,1.1,3.1,1.2,9.7,-2.32
6530,8.1,2.2,7.9,3.7,10.1,3.12
6558,6.2,3.8,6.5,2.6,9.6,0.49
6936,3.1,2.0,5.0,1.3,10.2,-2.14
6962,7.0,0.9,3.2,3.1,10.9,2.24
7147,9.6,4.3,9.2,4.2,10.4,4.74
7600,8.2,4.0,7.9,3.8,10.8,3.60
7876,3.3,0.9,1.3,0.5,7.7,-2.40
8213,8.0,3.8,7.4,3.6,10.0,2.77
8254,3.7,1.4,4.1,0.9,9.7,-1.35
8555,4.5,0.7,4.1,1.4,9.9,-0.47
8719,2.6,1.1,4.7,1.0,9.3,-2.69
8921,4.9,2.2,3.4,1.0,10.1,-0.60
10028,6.3,0.7,6.0,0.9,10.5,1.36
10805,4.0,1.8,6.0,0.6,9.9,-1.17
11172,5.0,0.4,4.5,0.4,10.2,0.06
12860,5.5,1.6,7.3,1.1,10.3,0.36
12898,6.7,0.6,6.1,1.8,9.8,1.33
12950,2.1,0.5,2.0,0.5,9.8,-2.97
13135,5.3,2.4,9.5,1.1,10.9,0.51
13354,6.1,2.9,4.9,0.6,10.3,0.55
13736,2.5,1.2,3.3,1.2,9.6,-2.96
13896,3.9,1.5,2.6,1.2,8.5,-1.39
14279,7.3,3.6,7.4,0.7,10.4,2.02
14284,5.0,0.9,4.2,0.6,10.5,-0.17
14377,5.3,2.5,5.9,0.8,10.5,0.05
14421,5.3,0.8,8.5,4.1,11.4,0.44
14437,6.6,2.9,7.4,3.7,9.8,1.00
14784,3.7,1.2,7.8,3.0,10.4,-1.59
14816,8.5,3.7,9.2,4.4,10.4,3.34
15129,4.4,2.3,1.9,1.2,10.7,-0.52
15136,4.2,1.5,4.9,0.6,10.9,-0.71
15234,5.3,1.5,5.8,0.7,10.4,-0.14
15301,4.5,2.4,4.2,1.9,9.8,-0.71
15365,6.4,1.8,4.9,3.3,10.8,0.99
15421,2.8,1.5,4.5,1.0,10.1,-2.46
15425,8.7,4.0,7.9,3.8,10.4,3.14
15443,5.7,0.7,5.3,1.0,10.3,0.03
15459,1.6,0.6,1.7,0.7,8.9,-3.76
15461,3.0,1.2,4.8,2.6,10.3,-2.12
15648,4.6,2.1,8.3,4.0,11.0,-0.17
15866,7.2,3.5,8.2,4.0,11.0,2.16
16021,2.5,1.2,4.1,0.9,10.0,-2.55
16069,3.9,1.3,5.6,0.8,10.6,-1.47
16073,6.0,1.4,4.9,1.1,9.7,0.44
16116,3.3,1.1,3.3,1.0,9.5,-2.19
16163,8.5,1.1,6.6,1.1,10.5,3.78
16185,6.2,1.1,7.1,1.6,9.6,1.40
16206,7.2,3.3,7.9,3.9,10.7,2.46
17168,3.8,1.1,2.2,1.1,9.6,-1.62
17186,4.7,0.9,1.4,0.7,7.5,-1.07
17206,5.7,3.1,2.7,3.3,10.4,0.70
